"source";"target";"weight";"type"
"135025";"52612";"1.000004830552277";"undirected"
"147322";"124057";"1.0000030674844549";"undirected"
"147322";"18594";"1.0000011135172362";"undirected"
"147322";"53670";"1.0000342563796971";"undirected"
"147322";"61116";"1.000002394902169";"undirected"
"147322";"290791";"1.0000029313683396";"undirected"
"147322";"13314";"1.0000002922903053";"undirected"
"147322";"59658";"1.0000045727607294";"undirected"
"147322";"53286";"1.0000011257217283";"undirected"
"147322";"42540";"1.0000016877907194";"undirected"
"147322";"445253";"1.0000000201540213";"undirected"
"147322";"230738";"1.000332980940414";"undirected"
"147322";"282203";"1.0000124698520714";"undirected"
"17790";"175634";"1.0000009200368383";"undirected"
"17790";"42540";"1.0001334713501244";"undirected"
"52612";"30086";"1.0000025607842626";"undirected"
"52612";"70807";"1.0000128059384925";"undirected"
"52612";"4763";"1.0001634677437532";"undirected"
"52612";"57756";"1.0001254149127163";"undirected"
"52612";"53670";"1.000039310434741";"undirected"
"52612";"95404";"1.000000035238264";"undirected"
"52612";"62392";"1.0000326578969996";"undirected"
"52612";"61116";"1.0000253577622227";"undirected"
"52612";"110036";"1.0000701973469097";"undirected"
"52612";"290791";"1.0000011278705663";"undirected"
"52612";"42234";"1.0002825520075045";"undirected"
"52612";"13314";"1.0000461382000976";"undirected"
"52612";"59658";"1.0000074109344632";"undirected"
"52612";"39441";"1.0000004490701162";"undirected"
"52612";"14113";"1.000040890523571";"undirected"
"52612";"42540";"1.0000927436394382";"undirected"
"52612";"68141";"1.0000520613945065";"undirected"
"52612";"445253";"1.0000001632866384";"undirected"
"52612";"41551";"1.0010334169855717";"undirected"
"52612";"35685";"1.000198527385491";"undirected"
"52612";"114541";"1.0000008542957777";"undirected"
"52612";"31342";"1.0000013011066375";"undirected"
"81542";"53670";"1.0005749476613164";"undirected"
"81542";"68141";"1.0002310792439129";"undirected"
"81542";"41551";"1.0178542777173623";"undirected"
"30086";"17303";"1.000001411440504";"undirected"
"30086";"70807";"1.0000398606368568";"undirected"
"30086";"124057";"1.0000371302842708";"undirected"
"30086";"4763";"1.0000102688981936";"undirected"
"30086";"7582";"1.0001072974946148";"undirected"
"30086";"149414";"1.0000010263461858";"undirected"
"30086";"53670";"1.0000787829435167";"undirected"
"30086";"95404";"1.0000014658693326";"undirected"
"30086";"61116";"1.0000050517652015";"undirected"
"30086";"145342";"1.0000793800841694";"undirected"
"30086";"161730";"1.0000036440773965";"undirected"
"30086";"715482";"1.000004199000255";"undirected"
"30086";"49635";"1.0000903434235748";"undirected"
"30086";"4584";"1.0002034199528318";"undirected"
"30086";"290791";"1.0000119781371548";"undirected"
"30086";"45556";"1.0000183708773636";"undirected"
"30086";"293885";"1.0002222461361572";"undirected"
"30086";"201470";"1.0000168502700895";"undirected"
"30086";"175634";"1.0000211672447672";"undirected"
"30086";"14113";"1.0000280792553455";"undirected"
"30086";"53286";"1.000002575667679";"undirected"
"30086";"42540";"1.0000203461209551";"undirected"
"30086";"68141";"1.0000096815501112";"undirected"
"30086";"127805";"1.000105190556593";"undirected"
"30086";"445253";"1.0000033064736376";"undirected"
"30086";"5470";"1.0000099017381532";"undirected"
"30086";"378466";"1.0000006218134005";"undirected"
"30086";"114541";"1.00001318782297";"undirected"
