"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"134914";"max60watt";"4";"0";"4";"3";"1";"0";"4";"4";"null";"null";"0.0";"1.0";"0.75";"0.25";"0.0";"1.0";"1.0";"1"
"300556";"mirkohb";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"147211";"AssetBurned";"114";"12";"102";"76";"38";"71";"43";"24";"null";"null";"0.10526315789473684";"0.8947368421052632";"0.6666666666666666";"0.3333333333333333";"0.6228070175438597";"0.37719298245614036";"0.21052631578947367";"7"
"17679";"nahrens";"86";"36";"50";"85";"1";"48";"38";"1";"null";"null";"0.4186046511627907";"0.5813953488372093";"0.9883720930232558";"0.011627906976744186";"0.5581395348837209";"0.4418604651162791";"0.011627906976744186";"3"
"389655";"Mufti1000";"67";"0";"67";"66";"1";"63";"4";"0";"null";"null";"0.0";"1.0";"0.9850746268656716";"0.014925373134328358";"0.9402985074626866";"0.05970149253731343";"0.0";"1"
"52501";"Thomas_K";"2";"1";"1";"1";"1";"0";"2";"0";"null";"null";"0.5";"0.5";"0.5";"0.5";"0.0";"1.0";"0.0";"1"
"81431";"Ruffi";"132";"131";"1";"131";"1";"120";"12";"0";"null";"null";"0.9924242424242424";"0.007575757575757576";"0.9924242424242424";"0.007575757575757576";"0.9090909090909091";"0.09090909090909091";"0.0";"8"
"29975";"OxKing";"1401";"128";"1273";"679";"722";"1219";"182";"17";"null";"null";"0.0913633119200571";"0.9086366880799429";"0.4846538187009279";"0.5153461812990721";"0.8700927908636689";"0.1299072091363312";"0.012134189864382585";"9"
"595998";"HeBri";"6";"0";"6";"5";"1";"0";"6";"4";"null";"null";"0.0";"1.0";"0.8333333333333334";"0.16666666666666666";"0.0";"1.0";"0.6666666666666666";"1"
"454417";"rolf kretschmer";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"151840";"Eisdieler";"435";"371";"64";"77";"358";"355";"80";"0";"null";"null";"0.8528735632183908";"0.1471264367816092";"0.17701149425287357";"0.8229885057471265";"0.8160919540229885";"0.1839080459770115";"0.0";"6"
"518947";"JorgeBen";"4";"3";"1";"3";"1";"4";"0";"0";"null";"null";"0.75";"0.25";"0.75";"0.25";"1.0";"0.0";"0.0";"1"
"580397";"jas9n";"3";"2";"1";"2";"1";"0";"3";"3";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"1.0";"1"
"11558";"pkorduan";"9";"8";"1";"8";"1";"9";"0";"0";"null";"null";"0.8888888888888888";"0.1111111111111111";"0.8888888888888888";"0.1111111111111111";"1.0";"0.0";"0.0";"1"
"17192";"KartenFreak";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"70696";"xybot";"8";"2";"6";"4";"4";"0";"8";"0";"null";"null";"0.25";"0.75";"0.5";"0.5";"0.0";"1.0";"0.0";"7"
"323886";"hermann51";"2";"0";"2";"1";"1";"1";"1";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.5";"0.5";"0.0";"1"
"874791";"CLHB";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"104747";"pcknow";"13";"0";"13";"0";"13";"0";"13";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
