"source";"target";"weight";"type"
"135025";"566729";"3.0";"undirected"
"135025";"42540";"1.0";"undirected"
"300667";"45556";"1.0";"undirected"
"147322";"30086";"1.0";"undirected"
"147322";"759439";"5.0";"undirected"
"147322";"39593";"1.0";"undirected"
"147322";"95404";"2.0";"undirected"
"147322";"62392";"1.0";"undirected"
"147322";"61116";"3.0";"undirected"
"147322";"715482";"4.0";"undirected"
"147322";"131026";"1.0";"undirected"
"147322";"73428";"1.0";"undirected"
"147322";"45556";"4.0";"undirected"
"147322";"601334";"1.0";"undirected"
"147322";"115994";"6.0";"undirected"
"17790";"715482";"3.0";"undirected"
"17790";"45556";"4.0";"undirected"
"17790";"601334";"2.0";"undirected"
"389766";"45556";"4.0";"undirected"
"52612";"45556";"1.0";"undirected"
"52612";"39441";"1.0";"undirected"
"81542";"27305";"4.0";"undirected"
"81542";"4584";"3.0";"undirected"
"81542";"177902";"3.0";"undirected"
"81542";"45556";"3.0";"undirected"
"30086";"151951";"1.0";"undirected"
"30086";"70807";"1.0";"undirected"
"30086";"759439";"2.0";"undirected"
"30086";"57756";"1.0";"undirected"
"30086";"149414";"3.0";"undirected"
"30086";"53670";"1.0";"undirected"
"30086";"61116";"1.0";"undirected"
"30086";"161730";"5.0";"undirected"
"30086";"566729";"1.0";"undirected"
"30086";"715482";"5.0";"undirected"
"30086";"131026";"1.0";"undirected"
"30086";"2786";"1.0";"undirected"
"30086";"4584";"1.0";"undirected"
"30086";"477173";"1.0";"undirected"
"30086";"45556";"4.0";"undirected"
"30086";"39441";"5.0";"undirected"
"30086";"42540";"4.0";"undirected"
"30086";"460346";"1.0";"undirected"
"30086";"33083";"1.0";"undirected"
"30086";"127805";"3.0";"undirected"
"30086";"445253";"2.0";"undirected"
"30086";"448323";"2.0";"undirected"
"596109";"45556";"3.0";"undirected"
"151951";"715482";"1.0";"undirected"
"151951";"131026";"1.0";"undirected"
"151951";"45556";"3.0";"undirected"
"519058";"45556";"4.0";"undirected"
"580508";"4584";"2.0";"undirected"
"580508";"45556";"4.0";"undirected"
"11669";"715482";"1.0";"undirected"
"11669";"4584";"3.0";"undirected"
"11669";"45556";"1.0";"undirected"
"11669";"39441";"2.0";"undirected"
"70807";"61116";"1.0";"undirected"
"70807";"145342";"1.0";"undirected"
"70807";"290791";"1.0";"undirected"
"70807";"45556";"4.0";"undirected"
"323997";"45556";"1.0";"undirected"
"874902";"715482";"1.0";"undirected"
"874902";"45556";"1.0";"undirected"
"104858";"45556";"3.0";"undirected"
"104858";"39441";"1.0";"undirected"
"104858";"42540";"2.0";"undirected"
"124057";"57756";"1.0";"undirected"
"124057";"45556";"1.0";"undirected"
"759439";"715482";"4.0";"undirected"
"759439";"131026";"1.0";"undirected"
"759439";"115994";"5.0";"undirected"
"4763";"715482";"4.0";"undirected"
"4763";"45556";"2.0";"undirected"
"4763";"175634";"2.0";"undirected"
"57756";"53670";"1.0";"undirected"
"57756";"27305";"1.0";"undirected"
"57756";"711096";"1.0";"undirected"
"57756";"61116";"1.0";"undirected"
"57756";"161730";"1.0";"undirected"
"57756";"715482";"4.0";"undirected"
"57756";"131026";"1.0";"undirected"
"57756";"2786";"1.0";"undirected"
"57756";"4584";"5.0";"undirected"
"57756";"580580";"2.0";"undirected"
"57756";"45556";"6.0";"undirected"
"57756";"39441";"6.0";"undirected"
"57756";"42540";"1.0";"undirected"
"57756";"445253";"5.0";"undirected"
"57756";"114541";"2.0";"undirected"
"57756";"31342";"1.0";"undirected"
"7582";"45556";"1.0";"undirected"
"149414";"715482";"1.0";"undirected"
"149414";"45556";"3.0";"undirected"
"149414";"460346";"1.0";"undirected"
"149414";"445253";"3.0";"undirected"
"53670";"27305";"1.0";"undirected"
"53670";"775095";"1.0";"undirected"
"53670";"61116";"2.0";"undirected"
"53670";"715482";"2.0";"undirected"
"53670";"43993";"1.0";"undirected"
"53670";"149976";"4.0";"undirected"
"53670";"2786";"1.0";"undirected"
"53670";"4584";"2.0";"undirected"
"53670";"45556";"6.0";"undirected"
"53670";"42234";"2.0";"undirected"
"53670";"201470";"1.0";"undirected"
"53670";"40706";"1.0";"undirected"
"53670";"59658";"3.0";"undirected"
"53670";"39441";"3.0";"undirected"
"53670";"42540";"4.0";"undirected"
"53670";"445253";"1.0";"undirected"
"53670";"429905";"2.0";"undirected"
"275874";"45556";"3.0";"undirected"
"27305";"62392";"2.0";"undirected"
"27305";"61116";"1.0";"undirected"
"27305";"161730";"1.0";"undirected"
"27305";"715482";"2.0";"undirected"
"27305";"149976";"1.0";"undirected"
"27305";"4584";"1.0";"undirected"
"27305";"462056";"1.0";"undirected"
"27305";"45556";"6.0";"undirected"
"27305";"201470";"1.0";"undirected"
"27305";"39441";"2.0";"undirected"
"27305";"42540";"1.0";"undirected"
"27305";"460346";"1.0";"undirected"
"27305";"445253";"5.0";"undirected"
"39593";"61116";"3.0";"undirected"
"95404";"45556";"2.0";"undirected"
"711096";"61116";"1.0";"undirected"
"711096";"45556";"1.0";"undirected"
"241071";"715482";"3.0";"undirected"
"241071";"290791";"3.0";"undirected"
"241071";"45556";"5.0";"undirected"
"775095";"43993";"1.0";"undirected"
"96180";"45556";"1.0";"undirected"
"59061";"41551";"1.0";"undirected"
"526767";"45556";"3.0";"undirected"
"62392";"45556";"1.0";"undirected"
"61116";"161730";"1.0";"undirected"
"61116";"715482";"3.0";"undirected"
"61116";"2786";"1.0";"undirected"
"61116";"49635";"1.0";"undirected"
"61116";"164325";"1.0";"undirected"
"61116";"4584";"5.0";"undirected"
"61116";"290791";"1.0";"undirected"
"61116";"65259";"1.0";"undirected"
"61116";"45556";"5.0";"undirected"
"61116";"39441";"3.0";"undirected"
"61116";"42540";"2.0";"undirected"
"61116";"68141";"1.0";"undirected"
"61116";"33083";"1.0";"undirected"
"61116";"127805";"1.0";"undirected"
"61116";"445253";"1.0";"undirected"
"61116";"722248";"1.0";"undirected"
"605110";"715482";"1.0";"undirected"
"161730";"715482";"3.0";"undirected"
"161730";"131026";"1.0";"undirected"
"161730";"2786";"1.0";"undirected"
"161730";"4584";"1.0";"undirected"
"161730";"45556";"5.0";"undirected"
"161730";"39441";"3.0";"undirected"
"161730";"115994";"1.0";"undirected"
"161730";"161047";"1.0";"undirected"
"161730";"42540";"1.0";"undirected"
"161730";"127805";"1.0";"undirected"
"161730";"445253";"1.0";"undirected"
"566729";"715482";"2.0";"undirected"
"566729";"39441";"1.0";"undirected"
"566729";"161047";"4.0";"undirected"
"566729";"127805";"1.0";"undirected"
"76225";"445253";"1.0";"undirected"
"715482";"131026";"2.0";"undirected"
"715482";"110036";"2.0";"undirected"
"715482";"73428";"1.0";"undirected"
"715482";"149976";"1.0";"undirected"
"715482";"2786";"1.0";"undirected"
"715482";"242662";"1.0";"undirected"
"715482";"4584";"5.0";"undirected"
"715482";"290791";"3.0";"undirected"
