"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"135025";"1.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.7291666666666667";"0.0";"0.0"
"300667";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"147322";"5.0";"5.0";"5.0";"7.0";"4.0";"4.0";"0.0";"0.9644444444444445";"0.24867724867724866";"0.1924731182795699"
"17790";"2.0";"3.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.8353909465020577";"0.6666666666666666";"0.4206896551724138"
"389766";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.875";"null";"0.0"
"52612";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.8"
"81542";"4.0";"4.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.8284023668639054";"0.3148148148148148";"0.22333333333333333"
"30086";"8.0";"8.0";"2.0";"17.0";"2.0";"11.0";"0.0";"0.8901909722222223";"0.17938420348058903";"0.20637087599544937"
"596109";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"454528";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"151951";"1.0";"1.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.5833333333333334";"0.5";"0.4"
"519058";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"580508";"2.0";"2.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.8425925925925927";"0.6666666666666666";"0.3076923076923077"
"11669";"1.0";"3.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.8095238095238095";"0.7083333333333334";"0.5058823529411764"
"17303";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"70807";"0.0";"1.0";"1.0";"3.0";"2.0";"1.0";"0.0";"0.875";"0.2916666666666667";"0.23333333333333334"
"323997";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"874902";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.8333333333333334";"null"
"104858";"1.0";"2.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.712962962962963";"0.8333333333333334";"0.509090909090909"
"124057";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.5833333333333334";"null";"0.8"
"759439";"3.0";"3.0";"0.0";"4.0";"3.0";"4.0";"0.0";"0.9284890426758939";"0.46825396825396826";"0.35130434782608694"
"4763";"1.0";"1.0";"1.0";"3.0";"2.0";"0.0";"0.0";"0.875";"0.375";"0.31666666666666665"
"57756";"5.0";"6.0";"7.0";"5.0";"5.0";"13.0";"0.0";"0.9383303589133453";"0.36689814814814814";"0.3440828402366864"
"7582";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
