"source";"target";"weight"
"445253";"4584";"5.0"
"715482";"39441";"10.0"
"135025";"42540";"1.0"
"27305";"45556";"15.0"
"715482";"605110";"1.0"
"7582";"45556";"1.0"
"715482";"9287";"1.0"
"13823";"45556";"4.0"
"161730";"45556";"12.0"
"13823";"161047";"1.0"
"45556";"39441";"9.0"
"42540";"110036";"2.0"
"114541";"57756";"1.0"
"715482";"30086";"1.0"
"2786";"45556";"1.0"
"715482";"580580";"5.0"
"715482";"45556";"18.0"
"45556";"70807";"1.0"
"53670";"149976";"4.0"
"39441";"149976";"3.0"
"715482";"601334";"2.0"
"715482";"290791";"9.0"
"95404";"45556";"2.0"
"95404";"147322";"1.0"
"145342";"70807";"2.0"
"27305";"81542";"1.0"
"45556";"53670";"4.0"
"45556";"149976";"1.0"
"114541";"45556";"7.0"
"115994";"147322";"1.0"
"39441";"45556";"3.0"
"460346";"45556";"1.0"
"4584";"201470";"1.0"
"161730";"30086";"4.0"
"61116";"4584";"1.0"
"39441";"4584";"28.0"
"39441";"161047";"2.0"
"715482";"759439";"1.0"
"2786";"416518";"1.0"
"39441";"61116";"1.0"
"42540";"45556";"3.0"
"147322";"115994";"5.0"
"27305";"445253";"2.0"
"45556";"300667";"1.0"
"201470";"42540";"1.0"
"61116";"45556";"5.0"
"13314";"164325";"2.0"
"715482";"4763";"1.0"
"61116";"290791";"1.0"
"580508";"45556";"3.0"
"759439";"115994";"1.0"
"161047";"39441";"1.0"
"715482";"115994";"3.0"
"45556";"131026";"1.0"
"715482";"127805";"1.0"
"45556";"241071";"1.0"
"11669";"39441";"1.0"
"57756";"39441";"1.0"
"445253";"57756";"4.0"
"601334";"45556";"1.0"
"715482";"42540";"3.0"
"715482";"241071";"2.0"
"445253";"39441";"2.0"
"45556";"42540";"1.0"
"429905";"45556";"1.0"
"2791";"166240";"1.0"
"4584";"39441";"1.0"
"462056";"45556";"3.0"
"596109";"45556";"3.0"
"147322";"39593";"1.0"
"715482";"4584";"1.0"
"39441";"11669";"2.0"
"580580";"57756";"1.0"
"39441";"53670";"1.0"
"445253";"45556";"6.0"
"149987";"42794";"1.0"
"4763";"175634";"1.0"
"45556";"175634";"1.0"
"39441";"42540";"1.0"
"39441";"290791";"1.0"
"192292";"45556";"1.0"
"715482";"566729";"1.0"
"135025";"566729";"3.0"
"161047";"566729";"3.0"
"759439";"147322";"3.0"
"45556";"519058";"1.0"
"45556";"57756";"1.0"
"39441";"378466";"1.0"
