"source";"target";"weight"
"61116";"45556";"47.0"
"45556";"61116";"6.0"
"68141";"45556";"44.0"
"68141";"42540";"1.0"
"445253";"45556";"58.0"
"149976";"45556";"107.0"
"42540";"45556";"177.0"
"42540";"149976";"9.0"
"45556";"149976";"11.0"
"4584";"445253";"5.0"
"445253";"27305";"7.0"
"27305";"445253";"36.0"
"27305";"45556";"219.0"
"31342";"53286";"3.0"
"31342";"45556";"3.0"
"263707";"45556";"76.0"
"147621";"45556";"76.0"
"580580";"715482";"5.0"
"580580";"45556";"2.0"
"61116";"68141";"5.0"
"715482";"4763";"5.0"
"17790";"45556";"31.0"
"53670";"45556";"15.0"
"715482";"42540";"26.0"
"39441";"715482";"58.0"
"39441";"566729";"2.0"
"715482";"566729";"1.0"
"715482";"45556";"112.0"
"573200";"45556";"14.0"
"131026";"45556";"37.0"
"131026";"39441";"1.0"
"39441";"131026";"13.0"
"4763";"715482";"5.0"
"161730";"45556";"140.0"
"39441";"4584";"23.0"
"11669";"45556";"1.0"
"11669";"4584";"13.0"
"4584";"715482";"3.0"
"57756";"715482";"26.0"
"48089";"161047";"15.0"
"253043";"4584";"6.0"
"39441";"57756";"3.0"
"57756";"4584";"13.0"
"715482";"57756";"12.0"
"715482";"4584";"6.0"
"86615";"131026";"5.0"
"147322";"45556";"36.0"
"360780";"45556";"9.0"
"147322";"61116";"44.0"
"149208";"61116";"11.0"
"70807";"45556";"22.0"
"39441";"45556";"192.0"
"45556";"42540";"17.0"
"161047";"48089";"1.0"
"45556";"151951";"118.0"
"30086";"151951";"131.0"
"715482";"151951";"89.0"
"72262";"45556";"8.0"
"45993";"45556";"6.0"
"161047";"45556";"20.0"
"4584";"61116";"8.0"
"61116";"4584";"1.0"
"715482";"580580";"3.0"
"601334";"45556";"1.0"
"30188";"45556";"60.0"
"45556";"715482";"39.0"
"53670";"40706";"2.0"
"445253";"76225";"3.0"
"715482";"445253";"42.0"
"715482";"39441";"62.0"
"147322";"759439";"20.0"
"30086";"759439";"3.0"
"30086";"147322";"1.0"
"715482";"759439";"1.0"
"715482";"147322";"1.0"
"147322";"715482";"5.0"
"95404";"147322";"10.0"
"715482";"30086";"277.0"
"30086";"715482";"205.0"
"30086";"127805";"136.0"
"39593";"61116";"11.0"
"70807";"61116";"11.0"
"711096";"61116";"11.0"
"15413";"45556";"1.0"
"378466";"45556";"1.0"
"57756";"445253";"5.0"
"282203";"4584";"4.0"
"282203";"45556";"5.0"
"715482";"127805";"53.0"
"95404";"45556";"11.0"
"161047";"13823";"1.0"
"13823";"161047";"3.0"
"445253";"39441";"8.0"
"477173";"45556";"71.0"
"45556";"161730";"7.0"
"61116";"715482";"2.0"
"175634";"45556";"8.0"
"45556";"445253";"2.0"
"131026";"445253";"2.0"
"39441";"53670";"1.0"
"42540";"30086";"12.0"
"30086";"42540";"1.0"
"45556";"27305";"19.0"
"4584";"53670";"1.0"
"42234";"45556";"1.0"
"241071";"45556";"11.0"
"81542";"45556";"36.0"
"161730";"161047";"5.0"
"45556";"30086";"24.0"
"175634";"4763";"1.0"
"4763";"175634";"6.0"
"4763";"45556";"2.0"
"715482";"175634";"3.0"
"45556";"39441";"38.0"
"42540";"39441";"9.0"
"61116";"39441";"7.0"
"155872";"45556";"36.0"
"33083";"30086";"1.0"
"39441";"30086";"35.0"
"33083";"39441";"2.0"
"33083";"45556";"1.0"
"39441";"33083";"5.0"
"57756";"45556";"1.0"
"61116";"161730";"2.0"
"127805";"161730";"2.0"
"161047";"161730";"1.0"
"759439";"715482";"3.0"
"30086";"460346";"24.0"
"30086";"45556";"202.0"
"115994";"715482";"1.0"
"149976";"42540";"10.0"
"62392";"27305";"5.0"
"201470";"27305";"2.0"
"131026";"715482";"3.0"
"445253";"715482";"5.0"
"874902";"45556";"1.0"
"874902";"715482";"3.0"
"9287";"45556";"1.0"
"9287";"715482";"3.0"
"4584";"45556";"63.0"
"45556";"57756";"7.0"
"389766";"45556";"5.0"
"39441";"42540";"6.0"
"566729";"161047";"3.0"
"566729";"715482";"4.0"
"39441";"161047";"13.0"
"161047";"715482";"2.0"
"161047";"566729";"1.0"
"201470";"45556";"15.0"
"460346";"45556";"75.0"
"81542";"4584";"62.0"
"52612";"39441";"11.0"
"151951";"45556";"22.0"
"70807";"30086";"100.0"
"161047";"39441";"4.0"
"115994";"147322";"28.0"
