"source";"target";"weight"
"4584";"57756";"10.0"
"45556";"201470";"4.0"
"27305";"201470";"2.0"
"45556";"57756";"80.0"
"135025";"42540";"1.0"
"45556";"4584";"100.0"
"57756";"45556";"9.0"
"57756";"4584";"10.0"
"40706";"53670";"2.0"
"40706";"45556";"1.0"
"45556";"53670";"90.0"
"45556";"711096";"1.0"
"711096";"45556";"2.0"
"45556";"149976";"146.0"
"27305";"45556";"27.0"
"462056";"282203";"1.0"
"715482";"605110";"1.0"
"715482";"5470";"1.0"
"715482";"115994";"17.0"
"715482";"147322";"13.0"
"605110";"5470";"1.0"
"605110";"115994";"1.0"
"605110";"147322";"1.0"
"5470";"115994";"1.0"
"5470";"147322";"1.0"
"115994";"147322";"3.0"
"45556";"241071";"16.0"
"45556";"35685";"36.0"
"7582";"45556";"1.0"
"445253";"45556";"29.0"
"573200";"45556";"4.0"
"389766";"45556";"4.0"
"13823";"45556";"7.0"
"715482";"57756";"14.0"
"715482";"45556";"222.0"
"45556";"42234";"11.0"
"42234";"53670";"12.0"
"62392";"27305";"2.0"
"45556";"31342";"69.0"
"161730";"45556";"21.0"
"45556";"42540";"181.0"
"715482";"580580";"13.0"
"715482";"35685";"8.0"
"580580";"45556";"10.0"
"580580";"35685";"4.0"
"13823";"161047";"2.0"
"45556";"147322";"29.0"
"45556";"81542";"99.0"
"147322";"81542";"1.0"
"4584";"53670";"2.0"
"45556";"110036";"48.0"
"42540";"110036";"2.0"
"115994";"110036";"11.0"
"715482";"39441";"90.0"
"45556";"39441";"231.0"
"715482";"110036";"10.0"
"45556";"131026";"62.0"
"42540";"149976";"6.0"
"775095";"43993";"1.0"
"775095";"53670";"1.0"
"43993";"53670";"1.0"
"149976";"31342";"2.0"
"114541";"57756";"1.0"
"711096";"57756";"1.0"
"45556";"177902";"8.0"
"177902";"81542";"5.0"
"526767";"45556";"13.0"
"45556";"13314";"18.0"
"13314";"526767";"2.0"
"13314";"45556";"4.0"
"715482";"30086";"5.0"
"45556";"573200";"12.0"
"45556";"61116";"53.0"
"30086";"149414";"38.0"
"445253";"149414";"28.0"
"290791";"45556";"19.0"
"114541";"45556";"21.0"
"715482";"17790";"45.0"
"45556";"149414";"3.0"
"4584";"81542";"51.0"
"2786";"45556";"14.0"
"45556";"41551";"25.0"
"31342";"41551";"1.0"
"416518";"45556";"6.0"
"45556";"175634";"17.0"
"175634";"39441";"3.0"
"39441";"42540";"7.0"
"42540";"290791";"1.0"
"42540";"4584";"5.0"
"290791";"4584";"4.0"
