"source";"target";"weight"
"160042";"83557";"220.0"
"37548";"9375";"1.0"
"2075220";"1704554";"14.0"
"1704554";"161619";"6.0"
"161619";"1786055";"5.0"
"1786055";"83557";"60.0"
"83557";"211063";"2.0"
"211063";"83557";"19.0"
"2075220";"1786055";"6.0"
"1786055";"211063";"15.0"
"172867";"810093";"1.0"
"163480";"83557";"23.0"
"130277";"83557";"45.0"
"218616";"1704554";"1.0"
"397097";"1704554";"10.0"
"218616";"397097";"1.0"
"870861";"83557";"503.0"
"709289";"83557";"47.0"
"3620638";"83557";"494.0"
"810093";"208829";"1.0"
"208829";"83557";"25.0"
"158826";"83557";"281.0"
"2075220";"161619";"1.0"
"2238139";"83557";"106.0"
"810093";"24904";"6.0"
"24904";"83557";"12.0"
"2037651";"1151930";"2.0"
"300459";"83557";"1147.0"
"3620638";"98443";"6.0"
"810093";"98443";"2.0"
"2678738";"242257";"5.0"
"242257";"49047";"5.0"
"49047";"83557";"27.0"
"125897";"83557";"9.0"
"706229";"432618";"2.0"
"432618";"1704554";"2.0"
"1704554";"181135";"2.0"
"181135";"1786055";"2.0"
"810093";"3620638";"36.0"
"3620638";"810093";"42.0"
"96371";"810093";"5.0"
"37548";"83557";"40.0"
"27454";"229574";"2.0"
"229574";"83557";"192.0"
"98821";"83557";"3.0"
"323702";"83557";"8.0"
"53964";"3620638";"7.0"
"1198089";"229574";"6.0"
"229574";"107257";"3.0"
"107257";"83557";"19.0"
"5745229";"158826";"5.0"
"158826";"1712229";"19.0"
"1712229";"3620638";"2.0"
"810093";"2709404";"12.0"
"90780";"229574";"8.0"
"90780";"83557";"16.0"
"1075986";"83557";"67.0"
"860575";"83557";"59.0"
"158826";"1256648";"1.0"
"1256648";"158826";"1.0"
"83557";"41390";"9.0"
"474183";"429988";"1.0"
"429988";"3500139";"1.0"
"3500139";"158826";"3.0"
"83557";"705842";"6.0"
"705842";"37548";"4.0"
"37548";"229574";"4.0"
"229574";"14081";"1.0"
"14081";"109343";"1.0"
"109343";"83557";"1.0"
"83557";"88302";"43.0"
"88302";"41390";"5.0"
"810093";"50179";"2.0"
"50179";"1704554";"2.0"
"1704554";"229574";"8.0"
"229574";"85516";"1.0"
"85516";"41390";"2.0"
"361644";"83557";"6.0"
"125897";"2709404";"9.0"
"1198089";"83557";"39.0"
"98316";"300459";"5.0"
"300459";"293774";"2.0"
"293774";"83557";"3.0"
"138059";"83557";"30.0"
"138059";"158826";"17.0"
"158826";"138059";"22.0"
"208829";"138059";"2.0"
"83557";"19418";"20.0"
"464135";"83557";"42.0"
"158826";"98374";"1.0"
"1151930";"904963";"3.0"
"1151930";"210173";"1.0"
"210173";"904963";"6.0"
"1072240";"904963";"1.0"
"98316";"83557";"2.0"
"158826";"37548";"29.0"
"810093";"96371";"1.0"
"810093";"183561";"1.0"
"183561";"24904";"3.0"
"1704554";"37548";"2.0"
"83557";"23960";"451.0"
"15739";"181135";"1.0"
"181135";"15739";"1.0"
"375079";"83557";"12.0"
"483675";"83557";"5.0"
"2238139";"2269016";"7.0"
"37548";"158826";"17.0"
"1443767";"4843787";"1.0"
"810093";"83557";"81.0"
"83557";"229574";"35.0"
"806988";"83557";"4.0"
"83557";"138059";"13.0"
"138059";"23960";"21.0"
"904963";"83557";"12.0"
"210173";"83557";"7.0"
"870861";"300459";"68.0"
"332493";"4205124";"3.0"
"4205124";"262836";"2.0"
"870861";"158826";"3.0"
"810093";"229574";"21.0"
"229574";"138059";"5.0"
"810093";"1151930";"16.0"
"1151930";"138059";"4.0"
"208829";"2070989";"2.0"
"2070989";"158826";"10.0"
"2126146";"24207";"2.0"
"1424448";"2709404";"2.0"
"1151930";"300459";"1.0"
"300459";"138059";"6.0"
"138059";"300459";"10.0"
"1429581";"98443";"2.0"
"125897";"1429581";"1.0"
"158826";"229574";"26.0"
"439947";"229574";"2.0"
"3620638";"1075986";"1.0"
"158826";"533484";"2.0"
"533484";"229574";"2.0"
"1151930";"158826";"24.0"
"158826";"1151930";"10.0"
"1151930";"229574";"11.0"
"810093";"80120";"2.0"
"80120";"83557";"25.0"
"88302";"23960";"39.0"
"1151930";"83557";"29.0"
"229574";"23960";"7.0"
"51045";"130277";"16.0"
"130277";"1704554";"6.0"
"1704554";"23960";"3.0"
"15739";"218616";"1.0"
"1704554";"83557";"33.0"
"860575";"1704554";"13.0"
"1429581";"3620638";"8.0"
"810093";"138059";"40.0"
"83557";"96371";"17.0"
"96371";"23960";"10.0"
"37548";"185687";"2.0"
"1704554";"1786055";"11.0"
"1786055";"1232479";"6.0"
"1238664";"1075986";"1.0"
"1075986";"145231";"1.0"
"145231";"10610";"2.0"
"10610";"90780";"2.0"
"83557";"183561";"2.0"
"183561";"83557";"2.0"
"83557";"80120";"15.0"
"10352";"80120";"1.0"
"1151930";"4496211";"1.0"
"4496211";"3959449";"1.0"
"3959449";"1151930";"1.0"
"208829";"2479270";"1.0"
"2479270";"158826";"1.0"
"229574";"375079";"1.0"
"375079";"229574";"1.0"
"158826";"779239";"1.0"
"779239";"229574";"1.0"
"138059";"229574";"6.0"
