"source";"target";"weight"
"870861";"83557";"856.0"
"1075986";"83557";"205.0"
"158826";"83557";"1199.0"
"83557";"9375";"16.0"
"158826";"37548";"6.0"
"160042";"83557";"82.0"
"2238139";"83557";"187.0"
"3620638";"83557";"378.0"
"138059";"83557";"121.0"
"1232825";"83557";"88.0"
"3689622";"83557";"11.0"
"860575";"83557";"230.0"
"300459";"83557";"271.0"
"6466263";"83557";"82.0"
"1151930";"83557";"32.0"
"293774";"83557";"8.0"
"2269016";"83557";"170.0"
"138059";"3003069";"4.0"
"709289";"83557";"243.0"
"130277";"83557";"60.0"
"49047";"83557";"67.0"
"810093";"83557";"76.0"
"375079";"83557";"6.0"
"1122708";"83557";"64.0"
"483675";"83557";"8.0"
"98316";"83557";"5.0"
"83557";"41390";"1.0"
"163480";"83557";"26.0"
"3948380";"83557";"64.0"
"98443";"83557";"21.0"
"6466263";"300459";"10.0"
"1872631";"83557";"17.0"
"3178375";"83557";"8.0"
"3500139";"138059";"2.0"
"210173";"904963";"417.0"
"142688";"158826";"16.0"
"210173";"1072240";"1.0"
"300459";"23960";"6.0"
"6466263";"870861";"10.0"
"208829";"83557";"6.0"
"533465";"83557";"6.0"
"208829";"2070989";"5.0"
"1732493";"83557";"3.0"
"429988";"158826";"5.0"
"4496211";"125897";"1.0"
"107257";"83557";"4.0"
"2709404";"810093";"1.0"
"1151930";"229574";"2.0"
"158826";"229574";"2.0"
"2269016";"300459";"4.0"
"83557";"23960";"16.0"
"24904";"83557";"1.0"
"37548";"83557";"8.0"
"172867";"83557";"24.0"
"50179";"83557";"9.0"
"49047";"10352";"1.0"
"1122708";"158826";"1.0"
"3620638";"79386";"1.0"
"1704554";"1786055";"3.0"
"83557";"3990";"1.0"
"1198089";"83557";"38.0"
"49047";"361644";"1.0"
"810093";"1151930";"2.0"
"138059";"158826";"14.0"
"41390";"37707";"2.0"
"83557";"158826";"42.0"
"429988";"2070989";"1.0"
"138059";"2070989";"1.0"
"533484";"158826";"2.0"
"709289";"3620638";"2.0"
"83557";"80120";"2.0"
"3620638";"163480";"1.0"
"4205124";"810093";"2.0"
"172867";"3620638";"7.0"
"810093";"3620638";"11.0"
"3178375";"3620638";"10.0"
"2075220";"1712229";"1.0"
"1918167";"860575";"14.0"
"1918167";"810093";"22.0"
"810093";"138059";"4.0"
"1918167";"138059";"1.0"
"2269016";"158826";"7.0"
"705842";"229574";"4.0"
"4994101";"83557";"2.0"
"138059";"2269016";"4.0"
"2269016";"2709404";"1.0"
"4205124";"3620638";"1.0"
"810093";"211063";"1.0"
"229574";"83557";"7.0"
"83557";"130277";"26.0"
"1151930";"300459";"1.0"
"4363";"83557";"3.0"
"412560";"83557";"2.0"
"158826";"90780";"1.0"
"80120";"83557";"8.0"
"704348";"83557";"1.0"
"41390";"23960";"6.0"
"15739";"1429581";"1.0"
"3085";"33634";"1.0"
"870861";"300459";"30.0"
"464135";"83557";"16.0"
"675449";"83557";"24.0"
"4994101";"3620638";"2.0"
"810093";"208829";"1.0"
"53964";"229574";"1.0"
"158826";"300459";"13.0"
"125897";"1955342";"37.0"
"2269016";"27454";"1.0"
"83557";"27454";"3.0"
"163480";"464135";"1.0"
"675449";"870861";"1.0"
"300459";"464135";"1.0"
"3620638";"158826";"1.0"
"83557";"138059";"3.0"
"1955342";"83557";"3.0"
"375079";"24657";"21.0"
"1712229";"1544322";"1.0"
"13436";"83557";"2.0"
"158826";"24657";"26.0"
"2269016";"229574";"6.0"
"2269016";"705842";"4.0"
"2238139";"533465";"3.0"
"810093";"2709404";"1.0"
"208829";"158826";"1.0"
"1732493";"138059";"1.0"
"83557";"98682";"1.0"
"300459";"483675";"1.0"
"3620638";"125897";"1.0"
"138059";"317197";"1.0"
"392288";"1232825";"4.0"
"6236830";"2238139";"5.0"
"194054";"80120";"1.0"
"2238139";"2269016";"3.0"
"300459";"722137";"1.0"
"160042";"90780";"1.0"
"6236830";"705842";"9.0"
"167634";"102612";"16.0"
"83557";"1232479";"1.0"
"210173";"860575";"26.0"
"904963";"860575";"67.0"
"9375";"83557";"1.0"
"779239";"83557";"2.0"
"3085";"23960";"1.0"
"3620638";"870861";"3.0"
"1069176";"3620638";"2.0"
"138059";"1872631";"3.0"
"306191";"83557";"1.0"
"2709404";"158826";"2.0"
"3620638";"860575";"8.0"
"3620638";"810093";"6.0"
"2377664";"4983317";"2.0"
"533484";"83557";"1.0"
"53964";"1151930";"1.0"
"83557";"37548";"2.0"
"2238139";"705842";"14.0"
"83557";"33634";"3.0"
"138059";"705842";"1.0"
"229574";"33634";"2.0"
"6466263";"80120";"1.0"
"37548";"80120";"2.0"
"2238139";"2709404";"2.0"
"158826";"705842";"3.0"
"1198089";"1232479";"1.0"
"322785";"3620638";"1.0"
"4496211";"83557";"3.0"
"6236830";"83557";"5.0"
"98821";"83557";"4.0"
"810093";"860575";"16.0"
"533465";"2874370";"1.0"
"130277";"1232479";"1.0"
"83557";"19418";"3.0"
"83557";"107257";"82.0"
"125897";"1955174";"2.0"
"1786055";"83557";"2.0"
"224440";"125897";"1.0"
"1075986";"870861";"4.0"
"332493";"3620638";"1.0"
"1075986";"300459";"2.0"
"138059";"870861";"5.0"
"705842";"83557";"3.0"
"83557";"300459";"3.0"
"138059";"1198089";"1.0"
"53964";"83557";"9.0"
"83557";"3516";"1.0"
"550691";"1016290";"1.0"
"49047";"300459";"2.0"
"2238139";"300459";"3.0"
"83557";"229574";"4.0"
"53964";"138059";"3.0"
"1075986";"1151930";"2.0"
"2238139";"158826";"3.0"
"2748195";"2238139";"1.0"
"474183";"429988";"1.0"
"3620638";"616204";"1.0"
"172867";"860575";"1.0"
"870861";"158826";"1.0"
"709289";"158826";"7.0"
"41390";"86051";"1.0"
"3178375";"810093";"1.0"
"870861";"3620638";"1.0"
"300459";"2269016";"1.0"
"705842";"9375";"5.0"
"53964";"1198089";"2.0"
"810093";"41390";"1.0"
"429988";"37548";"1.0"
"300459";"1068549";"1.0"
"224440";"158826";"2.0"
"158826";"870861";"1.0"
"1198089";"300459";"1.0"
"300459";"158826";"1.0"
"704348";"545694";"2.0"
"158826";"704348";"3.0"
"2269016";"332493";"1.0"
"24207";"24657";"2.0"
"870861";"1586896";"1.0"
"420883";"3990";"1.0"
"445666";"3620638";"1.0"
"1198089";"810093";"14.0"
"412560";"323702";"1.0"
"397097";"88164";"1.0"
"19418";"18744";"1.0"
"322785";"1786055";"1.0"
"224440";"1151930";"1.0"
"1198089";"3500139";"1.0"
"4496211";"138059";"1.0"
"3620638";"3364606";"1.0"
"2075220";"1429581";"2.0"
"2511706";"2238139";"1.0"
"300459";"172867";"1.0"
"109925";"138059";"1.0"
"138059";"300459";"1.0"
"1075986";"409571";"1.0"
"107257";"20578";"4.0"
"83557";"20578";"1.0"
"1955342";"464135";"8.0"
"138059";"20578";"1.0"
"810093";"20578";"1.0"
"2709404";"649662";"1.0"
"870861";"860575";"1.0"
"110263";"83557";"5.0"
"2238139";"9375";"1.0"
"300459";"870861";"1.0"
"860575";"130277";"1.0"
"709289";"2708338";"1.0"
"158826";"317197";"1.0"
"6466263";"15739";"5.0"
"300459";"14081";"1.0"
"83557";"317197";"1.0"
"1151930";"810093";"1.0"
"83557";"342673";"11.0"
"13442";"23960";"4.0"
"13442";"88302";"1.0"
"810093";"1704554";"8.0"
"130277";"1704554";"2.0"
"3085";"19418";"2.0"
"2820261";"810093";"1.0"
"158826";"19418";"1.0"
"14081";"24904";"1.0"
"33634";"23960";"1.0"
"224440";"231539";"1.0"
"1786055";"231539";"1.0"
"1918167";"23960";"3.0"
"1198089";"208829";"1.0"
"118021";"705842";"1.0"
"300459";"705842";"1.0"
"2820261";"158826";"1.0"
"3620638";"53964";"1.0"
"83557";"722137";"1.0"
"125897";"655309";"1.0"
"722137";"80120";"1.0"
"98443";"1151930";"1.0"
"125897";"464135";"1.0"
"43845";"19418";"1.0"
"779239";"229574";"1.0"
"224440";"24207";"1.0"
"88302";"81170";"1.0"
"1704554";"83557";"1.0"
"3620638";"709289";"1.0"
"860575";"1704554";"1.0"
"375079";"483675";"1.0"
"3085";"37707";"1.0"
"1704554";"1918167";"1.0"
"1151930";"98443";"1.0"
"158826";"27454";"1.0"
"400383";"810093";"2.0"
"88302";"3085";"1.0"
"400383";"2238139";"1.0"
"412560";"37548";"1.0"
"3620638";"37548";"1.0"
