"source";"target";"weight"
"300459";"83557";"9650.0"
"83557";"158826";"1842.0"
"83557";"1232825";"116.0"
"1232825";"158826";"25.0"
"83557";"860575";"331.0"
"83557";"1786055";"72.0"
"83557";"1198089";"65.0"
"161619";"1786055";"10.0"
"161619";"83557";"29.0"
"161619";"1198089";"1.0"
"1198089";"1786055";"6.0"
"1198089";"83557";"610.0"
"83557";"709289";"302.0"
"709289";"83557";"524.0"
"83557";"870861";"1344.0"
"870861";"83557";"5920.0"
"83557";"138059";"212.0"
"3500139";"83557";"509.0"
"2238139";"83557";"679.0"
"83557";"464135";"40.0"
"125897";"464135";"12.0"
"300459";"870861";"151.0"
"2709404";"810093";"79.0"
"2709404";"83557";"96.0"
"83557";"2269016";"228.0"
"160042";"83557";"286.0"
"83557";"300459";"468.0"
"83557";"130277";"114.0"
"2709404";"158826";"104.0"
"49047";"83557";"393.0"
"49047";"158826";"5.0"
"53964";"83557";"133.0"
"53964";"158826";"13.0"
"262836";"83557";"26.0"
"262836";"158826";"25.0"
"2709404";"229574";"14.0"
"2709404";"1151930";"5.0"
"2709404";"138059";"11.0"
"3280249";"2709404";"1.0"
"3280249";"158826";"5.0"
"3280249";"83557";"8.0"
"3280249";"229574";"4.0"
"3280249";"1151930";"1.0"
"3280249";"138059";"1.0"
"3620638";"2709404";"1.0"
"3620638";"158826";"73.0"
"3620638";"83557";"7873.0"
"3620638";"229574";"4.0"
"3620638";"1151930";"1.0"
"3620638";"138059";"6.0"
"4496211";"2709404";"3.0"
"4496211";"158826";"18.0"
"4496211";"83557";"107.0"
"4496211";"229574";"11.0"
"4496211";"1151930";"5.0"
"4496211";"138059";"4.0"
"262836";"810093";"11.0"
"5745229";"810093";"43.0"
"83557";"2238139";"397.0"
"138059";"300459";"16.0"
"172867";"300459";"15.0"
"300459";"138059";"10.0"
"172867";"138059";"7.0"
"138059";"1151930";"7.0"
"83557";"49047";"115.0"
"158826";"83557";"1446.0"
"996303";"83557";"1176.0"
"83557";"1075986";"313.0"
"109925";"138059";"2.0"
"83557";"160042";"441.0"
"83557";"172867";"49.0"
"172867";"83557";"192.0"
"3620638";"810093";"233.0"
"158826";"300459";"7.0"
"533465";"83557";"29.0"
"533465";"300459";"4.0"
"533465";"158826";"26.0"
"870861";"1075986";"22.0"
"1075986";"83557";"625.0"
"138059";"24904";"3.0"
"229574";"138059";"4.0"
"229574";"810093";"30.0"
"138059";"229574";"9.0"
"229574";"1151930";"18.0"
"1151930";"810093";"22.0"
"83557";"533465";"8.0"
"3620638";"172867";"48.0"
"172867";"3620638";"65.0"
"83557";"110263";"12.0"
"110263";"83557";"23.0"
"300459";"110263";"5.0"
"1198089";"300459";"3.0"
"870861";"138059";"105.0"
"107257";"870861";"17.0"
"107257";"83557";"505.0"
"83557";"1151930";"84.0"
"300459";"1151930";"5.0"
"158826";"1151930";"54.0"
"1151930";"83557";"478.0"
"3085";"23960";"23.0"
"3085";"83557";"55.0"
"449555";"23960";"9.0"
"449555";"83557";"10.0"
"83557";"163480";"64.0"
"163480";"83557";"145.0"
"2708338";"83557";"13.0"
"1786055";"83557";"98.0"
"210173";"83557";"103.0"
"50179";"83557";"17.0"
"300459";"1075986";"49.0"
"158826";"2238139";"15.0"
"3500139";"158826";"19.0"
"3500139";"2238139";"147.0"
"2238139";"158826";"19.0"
"4994101";"3620638";"11.0"
"2269016";"83557";"101.0"
"46239";"83557";"58.0"
"158826";"3990";"10.0"
"300459";"158826";"157.0"
"300459";"3990";"10.0"
"1016290";"158826";"12.0"
"1016290";"3990";"10.0"
"550691";"158826";"19.0"
"550691";"3990";"15.0"
"709289";"870861";"3.0"
"870861";"300459";"15.0"
"1704554";"130277";"1.0"
"1704554";"810093";"17.0"
"130277";"1704554";"4.0"
"130277";"810093";"12.0"
"810093";"130277";"7.0"
"810093";"1704554";"6.0"
"83557";"98443";"27.0"
"83557";"810093";"263.0"
"208829";"810093";"7.0"
"208829";"83557";"121.0"
"810093";"83557";"159.0"
"3620638";"125897";"5.0"
"810093";"3620638";"207.0"
"810093";"172867";"1.0"
"208829";"27454";"5.0"
"138059";"158826";"86.0"
"1704554";"158826";"44.0"
"1704554";"138059";"12.0"
"158826";"138059";"5.0"
"138059";"83557";"122.0"
"1704554";"83557";"71.0"
"3003069";"138059";"6.0"
"3003069";"158826";"3.0"
"522742";"138059";"2.0"
"522742";"158826";"2.0"
"317197";"229574";"4.0"
"317197";"705842";"1.0"
"705842";"158826";"141.0"
"83557";"705842";"27.0"
"1704554";"705842";"1.0"
"158826";"705842";"25.0"
"208829";"2070989";"2.0"
"208829";"705842";"1.0"
"208829";"158826";"40.0"
"300459";"49047";"23.0"
"49047";"300459";"5.0"
"49047";"361644";"9.0"
"3620638";"361644";"36.0"
"1238664";"83557";"87.0"
"317197";"83557";"10.0"
"317197";"37548";"6.0"
"317197";"138059";"1.0"
"158826";"37548";"39.0"
"158826";"229574";"43.0"
"1704554";"37548";"3.0"
"1704554";"229574";"17.0"
"10610";"37548";"12.0"
"90780";"37548";"22.0"
"37548";"83557";"114.0"
"83557";"229574";"286.0"
"229574";"83557";"146.0"
