"source";"target";"weight"
"130277";"83557";"350.0"
"83557";"24042";"35.0"
"300459";"83557";"8526.0"
"709289";"76321";"5.0"
"76321";"130277";"8.0"
"130277";"98316";"38.0"
"98316";"13442";"7.0"
"13442";"88302";"3.0"
"24904";"37548";"24.0"
"1704554";"83557";"270.0"
"1198089";"130277";"39.0"
"130277";"432618";"37.0"
"432618";"130277";"69.0"
"130277";"24904";"152.0"
"578397";"300459";"39.0"
"300459";"24042";"47.0"
"125299";"3143100";"1.0"
"300459";"1712229";"1.0"
"1712229";"53048";"1.0"
"53048";"300459";"1.0"
"300459";"98316";"7.0"
"98316";"83557";"69.0"
"83557";"88302";"116.0"
"88302";"23960";"100.0"
"23960";"54945";"1.0"
"54945";"41873";"1.0"
"41873";"50414";"1.0"
"50414";"41873";"19.0"
"1795336";"83557";"43.0"
"870861";"83557";"273.0"
"37548";"24042";"3.0"
"37548";"300459";"8.0"
"578397";"130277";"41.0"
"130277";"24042";"105.0"
"130277";"170817";"5.0"
"22165";"130277";"14.0"
"130277";"33634";"86.0"
"33634";"170817";"1.0"
"300459";"578397";"9.0"
"578397";"24042";"21.0"
"37548";"578397";"6.0"
"172867";"4051292";"75.0"
"158826";"130277";"136.0"
"4773843";"130277";"2.0"
"675449";"130277";"20.0"
"130277";"50414";"121.0"
"1424448";"158826";"4.0"
"870861";"300459";"141.0"
"675449";"1942788";"2.0"
"1772032";"1942788";"58.0"
"439947";"1942788";"20.0"
"2126146";"2709404";"6.0"
"375079";"13442";"7.0"
"13442";"130277";"14.0"
"172867";"4290486";"1.0"
"4290486";"4051292";"1.0"
"98316";"130277";"43.0"
"130277";"88302";"182.0"
"375079";"24904";"4.0"
"1227542";"300459";"1.0"
"2491064";"300459";"1.0"
"300459";"130277";"47.0"
"130277";"578397";"5.0"
"83557";"130277";"122.0"
"4023601";"52634";"9.0"
"52634";"53964";"7.0"
"53964";"51045";"5.0"
"51045";"578397";"3.0"
"13442";"24042";"16.0"
"130277";"19418";"3.0"
"19418";"24042";"4.0"
"49047";"130277";"4.0"
"1704554";"300459";"20.0"
"98316";"81024";"9.0"
"81024";"13442";"7.0"
"98316";"24042";"3.0"
"2126146";"1198089";"2.0"
"1198089";"432618";"1.0"
"1424448";"2228868";"10.0"
"2228868";"130277";"7.0"
"2126146";"1424448";"11.0"
"1424448";"2709404";"1.0"
"2709404";"432618";"4.0"
"1795336";"300459";"2.0"
"130277";"6975";"2.0"
"6975";"50414";"3.0"
"2126146";"130277";"42.0"
"5426135";"130277";"40.0"
"125897";"439947";"15.0"
"125897";"130277";"14.0"
"83557";"50414";"227.0"
"2179792";"2255719";"1.0"
"2255719";"2179792";"1.0"
"53964";"141978";"3.0"
"141978";"51045";"3.0"
"51045";"130277";"29.0"
