"source";"target";"weight"
"300459";"83557";"7533.0"
"3143100";"83557";"35.0"
"130277";"170817";"2.0"
"578397";"300459";"5.0"
"1704554";"300459";"11.0"
"578397";"37548";"1.0"
"130277";"24042";"21.0"
"130277";"50414";"64.0"
"42123";"83557";"73.0"
"1704554";"83557";"43.0"
"578397";"130277";"4.0"
"125897";"439947";"27.0"
"1795336";"83557";"38.0"
"172867";"4051292";"8.0"
"83557";"130277";"143.0"
"130277";"88302";"16.0"
"578397";"24042";"4.0"
"172867";"83557";"28.0"
"83557";"24042";"3.0"
"300459";"130277";"101.0"
"49047";"130277";"1.0"
"628995";"130277";"1.0"
"13442";"24042";"2.0"
"19418";"24042";"2.0"
"2126146";"578397";"3.0"
"138059";"83557";"984.0"
"83557";"50414";"97.0"
"125897";"1942788";"20.0"
"870861";"83557";"16.0"
"300544";"130277";"6.0"
"870861";"300459";"11.0"
"709289";"300459";"127.0"
"1956154";"98316";"3.0"
"2126146";"1424448";"2.0"
"1704554";"130277";"59.0"
"1198089";"1345538";"1.0"
"375079";"130277";"2.0"
"10927";"2488";"2.0"
"83557";"107257";"96.0"
"13442";"88302";"1.0"
"306191";"88302";"1.0"
"33634";"23960";"43.0"
"24904";"23960";"66.0"
"13442";"23960";"34.0"
"130277";"70696";"1.0"
"24904";"50414";"37.0"
"3085";"23960";"6.0"
"41873";"23960";"3.0"
"13442";"50414";"24.0"
"24904";"130277";"27.0"
"306191";"23960";"2.0"
"130277";"23960";"89.0"
"375079";"23960";"2.0"
"33634";"50414";"61.0"
"130277";"24904";"16.0"
"4507136";"130277";"9.0"
"4507136";"1795336";"1.0"
"98316";"23960";"21.0"
"158826";"23960";"1.0"
"2709404";"130277";"1.0"
"709289";"130277";"23.0"
"158826";"130277";"8.0"
"300459";"23960";"2.0"
"130277";"13442";"5.0"
"130277";"28378";"1.0"
"83557";"24904";"72.0"
"1795336";"870861";"1.0"
"1795336";"300459";"2.0"
"870861";"623567";"1.0"
"2126146";"130277";"12.0"
"130277";"464135";"9.0"
"83557";"125299";"1.0"
"709289";"158826";"7.0"
"224440";"98316";"1.0"
"158826";"98316";"3.0"
"130277";"224440";"1.0"
"37548";"130277";"3.0"
"709289";"83557";"364.0"
"9176";"24904";"3.0"
"300459";"24904";"31.0"
"464135";"130277";"4.0"
"375079";"83557";"10.0"
"24904";"300459";"3.0"
"4051292";"300459";"5.0"
"1425311";"300459";"7.0"
"179778";"83557";"22.0"
"130277";"83557";"197.0"
"130277";"125299";"18.0"
"4051292";"83557";"113.0"
"172867";"709289";"12.0"
"172867";"300459";"6.0"
"83557";"158826";"1.0"
"125897";"37548";"1.0"
"675449";"83557";"18.0"
"47419";"125299";"2.0"
"628995";"1942788";"10.0"
"439947";"1942788";"5.0"
"125897";"1772032";"8.0"
"1772032";"1942788";"2.0"
"125897";"300459";"2.0"
"125299";"83557";"50.0"
"24904";"83557";"43.0"
"158826";"300459";"3.0"
"709289";"1425311";"15.0"
"57126";"98316";"2.0"
"675449";"300459";"1.0"
"37548";"300459";"1.0"
"13442";"130277";"1.0"
"13442";"24904";"1.0"
"375079";"13442";"2.0"
"275821";"24904";"1.0"
"578397";"1425311";"2.0"
"81024";"50414";"14.0"
"5426135";"300459";"1.0"
"3085";"50414";"8.0"
"98316";"83557";"18.0"
"275821";"50414";"1.0"
"375079";"50414";"4.0"
"4507136";"522742";"17.0"
"125897";"83557";"38.0"
"1704554";"375079";"1.0"
"1425311";"83557";"72.0"
"300459";"50414";"4.0"
"1198089";"83557";"18.0"
"88302";"83557";"3.0"
"125897";"1198089";"12.0"
"158826";"83557";"59.0"
"5426135";"83557";"4.0"
"275821";"83557";"35.0"
"88302";"50414";"3.0"
"1425311";"49047";"1.0"
"675449";"130277";"2.0"
"64255";"1054448";"1.0"
"2126146";"432618";"1.0"
"49047";"83557";"4.0"
"130277";"420883";"1.0"
"19237";"50414";"2.0"
"130277";"375079";"2.0"
"13289";"12295";"1.0"
"33634";"130277";"14.0"
"88302";"23960";"5.0"
"4532781";"83557";"3.0"
"24904";"24042";"2.0"
"125299";"138059";"2.0"
"3143100";"138059";"10.0"
"130277";"19237";"3.0"
"88302";"6975";"1.0"
"33634";"201149";"5.0"
"33634";"1679";"2.0"
"98316";"50414";"35.0"
"76002";"1425311";"3.0"
"675449";"1704554";"7.0"
"125897";"130277";"24.0"
"224440";"37548";"2.0"
"88302";"41873";"1.0"
"130277";"41873";"1.0"
"98316";"130277";"11.0"
"300459";"37548";"1.0"
"83557";"98316";"1.0"
"130277";"1679";"4.0"
"1198089";"130277";"14.0"
"98316";"81024";"2.0"
"24904";"98316";"1.0"
"33634";"13442";"1.0"
"33634";"81024";"2.0"
"4773843";"158826";"2.0"
"1075986";"83557";"23.0"
"37548";"83557";"4.0"
"130277";"42123";"2.0"
"49869";"1679";"1.0"
"439947";"130277";"2.0"
"158826";"1425311";"20.0"
"90780";"130277";"1.0"
"130277";"6975";"1.0"
"130277";"98316";"10.0"
"1704554";"98316";"1.0"
"1712229";"130277";"2.0"
"5426135";"130277";"4.0"
"709289";"623567";"4.0"
"158826";"37548";"1.0"
"130277";"2709404";"1.0"
"130277";"33634";"6.0"
"130277";"4763179";"1.0"
"2709404";"37548";"1.0"
