"source";"target";"weight"
"300459";"83557";"57553.0"
"83557";"709289";"599.0"
"300459";"709289";"1008.0"
"709289";"83557";"361.0"
"996303";"83557";"108.0"
"88302";"23960";"42.0"
"88302";"83557";"131.0"
"88302";"13442";"11.0"
"88302";"98316";"27.0"
"13442";"83557";"76.0"
"13442";"130277";"194.0"
"13442";"98316";"24.0"
"98316";"83557";"103.0"
"98316";"130277";"247.0"
"98316";"13442";"166.0"
"98316";"432618";"40.0"
"130277";"13442";"630.0"
"130277";"98316";"189.0"
"130277";"432618";"93.0"
"76321";"130277";"34.0"
"76321";"13442";"3.0"
"76321";"98316";"8.0"
"76321";"432618";"4.0"
"709289";"130277";"159.0"
"709289";"13442";"11.0"
"709289";"98316";"15.0"
"709289";"432618";"7.0"
"83557";"870861";"188.0"
"300459";"870861";"171.0"
"1425311";"83557";"293.0"
"2126146";"130277";"301.0"
"2126146";"578397";"41.0"
"2126146";"300459";"7.0"
"83557";"300459";"5187.0"
"83557";"1425311";"50.0"
"300459";"1425311";"53.0"
"870861";"83557";"1340.0"
"125299";"130277";"624.0"
"130277";"125299";"106.0"
"41873";"50414";"115.0"
"50414";"83557";"925.0"
"41873";"83557";"23.0"
"54945";"83557";"72.0"
"23960";"88302";"168.0"
"88302";"130277";"544.0"
"83557";"130277";"1221.0"
"83557";"88302";"60.0"
"98316";"88302";"4.0"
"300459";"130277";"384.0"
"300459";"88302";"13.0"
"53048";"130277";"20.0"
"53048";"88302";"3.0"
"1712229";"130277";"310.0"
"1712229";"88302";"19.0"
"4051292";"172867";"148.0"
"1704554";"83557";"124.0"
"2126146";"24904";"84.0"
"2126146";"1425311";"3.0"
"2126146";"4507136";"11.0"
"2126146";"158826";"25.0"
"2126146";"37548";"43.0"
"4051292";"49047";"19.0"
"172867";"4051292";"3.0"
"4051292";"4290486";"2.0"
"83557";"125299";"238.0"
"125299";"83557";"215.0"
"125299";"300459";"3.0"
"130277";"83557";"811.0"
"130277";"300459";"278.0"
"300459";"125299";"40.0"
"870861";"300459";"144.0"
"24042";"23960";"36.0"
"23960";"130277";"468.0"
"43845";"23960";"2.0"
"43845";"130277";"11.0"
"24904";"130277";"262.0"
"83557";"12022";"14.0"
"12022";"130277";"36.0"
"130277";"12022";"17.0"
"4507136";"130277";"94.0"
"4507136";"12022";"4.0"
"83557";"172867";"21.0"
"300459";"172867";"26.0"
"172867";"83557";"129.0"
"300459";"13442";"19.0"
"275821";"83557";"236.0"
"578397";"300459";"62.0"
"23960";"83557";"37.0"
"23960";"13442";"85.0"
"23960";"24904";"335.0"
"98316";"24904";"107.0"
"24904";"83557";"268.0"
"83557";"24904";"360.0"
"300459";"24904";"38.0"
"300459";"1704554";"294.0"
"1704554";"24904";"36.0"
"675449";"24904";"15.0"
"675449";"1704554";"28.0"
"83557";"23960";"131.0"
"23960";"432618";"52.0"
"300459";"432618";"41.0"
"1704554";"13442";"232.0"
"1704554";"432618";"45.0"
"13442";"24904";"66.0"
"24904";"1704554";"14.0"
"1795336";"24904";"4.0"
"1795336";"1704554";"8.0"
"13442";"375079";"52.0"
"83557";"13442";"556.0"
"83557";"375079";"69.0"
"375079";"13442";"133.0"
"375079";"1704554";"5.0"
"375079";"130277";"44.0"
"130277";"1704554";"99.0"
"83557";"1704554";"294.0"
"420883";"13442";"17.0"
"420883";"1704554";"1.0"
"420883";"130277";"132.0"
"432618";"13442";"115.0"
"432618";"1704554";"19.0"
"432618";"130277";"99.0"
"1704554";"130277";"193.0"
"2709404";"13442";"22.0"
"2709404";"1704554";"12.0"
"2709404";"130277";"128.0"
"2126146";"98316";"16.0"
"464135";"130277";"187.0"
"4363";"130277";"120.0"
"141978";"130277";"43.0"
"52634";"130277";"89.0"
"50624";"130277";"36.0"
"4023601";"130277";"383.0"
"858558";"130277";"13.0"
"858558";"13442";"2.0"
"5850916";"130277";"78.0"
"1544322";"130277";"105.0"
"300544";"130277";"2.0"
"185687";"130277";"1.0"
"262836";"130277";"18.0"
"709289";"172867";"2.0"
"4532781";"709289";"19.0"
"4532781";"172867";"14.0"
"172867";"709289";"43.0"
"22165";"130277";"97.0"
"578397";"37548";"39.0"
"130277";"23960";"98.0"
"300459";"578397";"63.0"
"1198089";"578397";"10.0"
"50414";"130277";"353.0"
"4507136";"83557";"46.0"
"83557";"125897";"31.0"
"300459";"125897";"31.0"
"37548";"83557";"160.0"
"37548";"125897";"13.0"
"125897";"83557";"41.0"
"275821";"125299";"5.0"
"83557";"4051292";"31.0"
"275821";"4051292";"5.0"
"300459";"4051292";"31.0"
"83557";"1717441";"18.0"
"300459";"1717441";"18.0"
"3220376";"83557";"70.0"
"1429581";"83557";"85.0"
"13442";"675449";"16.0"
"83557";"675449";"54.0"
"24410";"13442";"75.0"
"24410";"675449";"12.0"
"24410";"83557";"3.0"
"24410";"130277";"9.0"
"24410";"375079";"4.0"
"375079";"675449";"12.0"
"1198251";"13442";"31.0"
"1198251";"675449";"4.0"
"1198251";"1704554";"4.0"
"1198251";"130277";"8.0"
"1198251";"375079";"1.0"
"130277";"675449";"42.0"
"130277";"375079";"105.0"
"1704554";"675449";"44.0"
"1704554";"375079";"7.0"
"158826";"13442";"127.0"
"158826";"675449";"21.0"
"158826";"1704554";"21.0"
"158826";"130277";"319.0"
"158826";"375079";"6.0"
"90780";"13442";"659.0"
"90780";"675449";"28.0"
"90780";"1704554";"24.0"
"90780";"130277";"162.0"
"90780";"375079";"64.0"
"675449";"13442";"158.0"
"675449";"130277";"87.0"
"675449";"375079";"4.0"
"1443767";"13442";"254.0"
"1443767";"675449";"12.0"
"1443767";"1704554";"9.0"
"1443767";"130277";"52.0"
"1443767";"375079";"26.0"
"24904";"158826";"8.0"
"24904";"208829";"2.0"
"24904";"1425311";"2.0"
"1425311";"158826";"16.0"
"1425311";"208829";"1.0"
"1425311";"24904";"50.0"
"1956154";"675449";"2.0"
"1956154";"208829";"2.0"
"1956154";"24904";"8.0"
"1956154";"158826";"2.0"
"1956154";"1425311";"2.0"
"675449";"208829";"4.0"
"675449";"1425311";"1.0"
"208829";"675449";"13.0"
"208829";"24904";"6.0"
"208829";"1425311";"1.0"
"83557";"158826";"38.0"
"300459";"158826";"43.0"
"158826";"83557";"99.0"
"1424448";"37548";"25.0"
"83557";"49047";"4.0"
"300459";"49047";"4.0"
"49047";"1717441";"14.0"
"35598";"130277";"7.0"
"1413693";"83557";"46.0"
"130277";"709289";"119.0"
"83557";"464135";"10.0"
"300459";"464135";"24.0"
"3220376";"464135";"10.0"
"578397";"130277";"116.0"
"130277";"464135";"204.0"
"42429";"130277";"92.0"
"42429";"464135";"21.0"
"4363";"464135";"52.0"
"445671";"130277";"86.0"
"445671";"464135";"59.0"
"2097920";"130277";"59.0"
"2097920";"464135";"29.0"
"125299";"49047";"27.0"
"138059";"125299";"27.0"
"138059";"130277";"27.0"
"125299";"131968";"16.0"
"138059";"83557";"1.0"
"138059";"131968";"1.0"
"83557";"179778";"6.0"
"179778";"83557";"47.0"
"300459";"179778";"1.0"
"76321";"24904";"27.0"
"83557";"138059";"38.0"
"2488";"88302";"38.0"
"2488";"41390";"2.0"
"42123";"130277";"39.0"
"2317112";"83557";"6.0"
"2488";"41873";"8.0"
"2488";"130277";"26.0"
"2488";"33634";"20.0"
"1679";"41873";"5.0"
"1679";"130277";"172.0"
"1679";"33634";"87.0"
"41873";"88302";"28.0"
"41873";"130277";"109.0"
"41873";"33634";"6.0"
"130277";"33634";"353.0"
"130277";"578397";"167.0"
"83557";"578397";"20.0"
"83557";"98316";"244.0"
"1544322";"578397";"1.0"
"1544322";"98316";"45.0"
"1544322";"2126146";"1.0"
"2488";"300459";"1.0"
"2488";"8328";"11.0"
"2488";"10927";"33.0"
"10927";"300459";"4.0"
"10927";"550691";"5.0"
"10927";"130277";"67.0"
"1679";"300459";"5.0"
"1679";"550691";"3.0"
"24042";"300459";"42.0"
"24042";"550691";"1.0"
"24042";"130277";"267.0"
"24904";"300459";"34.0"
"24904";"550691";"1.0"
"88302";"300459";"8.0"
"88302";"550691";"1.0"
"85516";"300459";"7.0"
"85516";"550691";"3.0"
"85516";"130277";"91.0"
"19237";"300459";"7.0"
"19237";"550691";"3.0"
"19237";"130277";"184.0"
"130277";"550691";"8.0"
"42123";"300459";"3.0"
"42123";"550691";"5.0"
"420883";"550691";"17.0"
"300459";"550691";"30.0"
"870861";"550691";"7.0"
"870861";"130277";"91.0"
"4763179";"550691";"17.0"
"4763179";"130277";"87.0"
"550691";"130277";"8.0"
"12295";"41873";"18.0"
"13289";"41873";"3.0"
"10927";"24904";"26.0"
"10927";"464135";"10.0"
"1679";"24904";"82.0"
"1679";"464135";"4.0"
"85516";"42123";"10.0"
"85516";"464135";"4.0"
"19237";"42123";"19.0"
"19237";"464135";"4.0"
"130277";"42123";"5.0"
"42123";"464135";"20.0"
"130277";"420883";"12.0"
"300459";"420883";"1.0"
"420883";"98821";"6.0"
"420883";"300459";"23.0"
"420883";"464135";"6.0"
"4763179";"300459";"25.0"
"4763179";"464135";"6.0"
"550691";"300459";"9.0"
"550691";"464135";"6.0"
"2488";"56597";"2.0"
"1679";"56597";"11.0"
"41873";"56597";"7.0"
"130277";"56597";"8.0"
"130277";"41873";"3.0"
"33634";"56597";"1.0"
"33634";"130277";"212.0"
"33634";"41873";"4.0"
"49047";"13442";"157.0"
"145231";"13442";"125.0"
"83557";"275821";"26.0"
"300459";"275821";"26.0"
"13442";"432618";"15.0"
"13442";"378036";"20.0"
"49047";"130277";"51.0"
"49047";"378036";"3.0"
"49047";"375079";"25.0"
"90780";"432618";"13.0"
"90780";"378036";"7.0"
"145231";"432618";"4.0"
"145231";"130277";"26.0"
"145231";"378036";"2.0"
"145231";"375079";"17.0"
"1443767";"432618";"4.0"
"1443767";"378036";"3.0"
"130277";"22165";"49.0"
"130277";"4023601";"14.0"
"130277";"181135";"4.0"
"51045";"22165";"16.0"
"51045";"130277";"91.0"
"51045";"1772032";"2.0"
"51045";"4023601";"3.0"
"53964";"22165";"2.0"
"53964";"130277";"114.0"
"53964";"1772032";"2.0"
"53964";"4023601";"3.0"
"125897";"22165";"2.0"
"125897";"130277";"37.0"
"125897";"4773843";"3.0"
"125897";"4023601";"1.0"
"52634";"22165";"1.0"
"52634";"4773843";"2.0"
"52634";"4023601";"3.0"
"362997";"22165";"2.0"
"362997";"130277";"29.0"
"362997";"4773843";"1.0"
"362997";"4023601";"1.0"
"4023601";"22165";"25.0"
"4023601";"4773843";"4.0"
"3143100";"138059";"22.0"
"125299";"138059";"38.0"
"3143100";"125299";"8.0"
"138059";"3143100";"10.0"
"125299";"3143100";"10.0"
"138059";"375079";"9.0"
"2709404";"432618";"51.0"
"2126146";"432618";"55.0"
"88302";"24904";"50.0"
"130277";"24904";"1178.0"
"130277";"4507136";"27.0"
"262836";"24904";"2.0"
"262836";"4507136";"1.0"
"262836";"12022";"1.0"
"4507136";"24904";"23.0"
"609636";"130277";"8.0"
"609636";"24904";"2.0"
"609636";"4507136";"1.0"
"609636";"12022";"1.0"
"24904";"33634";"86.0"
"9176";"33634";"21.0"
"85516";"33634";"18.0"
"19237";"33634";"36.0"
"44671";"33634";"12.0"
"201149";"33634";"20.0"
"130277";"2709404";"7.0"
"201149";"130277";"153.0"
"98316";"2709404";"1.0"
"24904";"76321";"9.0"
"1704554";"98316";"7.0"
"158826";"98316";"19.0"
"709289";"24904";"38.0"
"709289";"76321";"6.0"
"224440";"130277";"17.0"
"130277";"88302";"70.0"
"224440";"88302";"1.0"
"1795336";"130277";"9.0"
"10927";"88302";"70.0"
"1679";"88302";"50.0"
"9176";"23960";"37.0"
"9176";"130277";"107.0"
"85516";"23960";"29.0"
"19237";"23960";"33.0"
"44671";"432618";"14.0"
"44671";"130277";"56.0"
"44671";"300459";"3.0"
"19237";"432618";"18.0"
"201149";"432618";"14.0"
"201149";"300459";"7.0"
"37548";"432618";"26.0"
"37548";"130277";"95.0"
"37548";"300459";"4.0"
"365279";"130277";"9.0"
"365279";"98821";"1.0"
"130277";"98821";"8.0"
"1704554";"98821";"2.0"
"300459";"98821";"4.0"
"1016290";"130277";"97.0"
"1016290";"98821";"3.0"
"2337040";"130277";"39.0"
"2337040";"98821";"3.0"
"1942788";"130277";"24.0"
"1772032";"130277";"59.0"
"439947";"130277";"69.0"
"1424448";"130277";"14.0"
"4773843";"130277";"34.0"
"130277";"439947";"26.0"
"2377377";"130277";"13.0"
"2377377";"439947";"1.0"
"1772032";"439947";"8.0"
"1308";"88302";"16.0"
"1308";"41390";"5.0"
"19418";"88302";"16.0"
"19418";"41390";"1.0"
"49869";"88302";"125.0"
"49869";"41390";"1.0"
"50414";"88302";"78.0"
"50414";"41390";"2.0"
"83557";"131968";"18.0"
"130277";"131968";"4.0"
"13442";"131968";"1.0"
"13442";"125299";"11.0"
"81024";"83557";"4.0"
"81024";"131968";"1.0"
"81024";"125299";"11.0"
"81024";"130277";"28.0"
"98316";"131968";"8.0"
