"source";"target";"weight"
"425846";"75410";"3.0"
"870861";"179778";"57.0"
"1443767";"2179792";"3.0"
"179778";"150478";"141.0"
"75410";"66675";"106.0"
"66675";"150478";"131.0"
"66675";"179778";"376.0"
"413220";"340246";"2.0"
"90780";"183561";"19.0"
"183561";"67572";"1815.0"
"66675";"183561";"301.0"
"179778";"183561";"183.0"
"1759463";"179778";"22.0"
"337375";"179778";"42.0"
"92075";"179778";"10.0"
"37548";"179778";"19.0"
"66675";"37548";"66.0"
"66675";"67572";"783.0"
"420883";"66675";"7.0"
"337375";"67572";"33.0"
"179778";"67572";"142.0"
"207829";"67572";"8.0"
"362997";"67572";"7.0"
"23891";"67572";"28.0"
"90780";"23891";"16.0"
"23891";"5657";"3.0"
"90780";"11068";"6.0"
"11068";"5657";"3.0"
"66675";"90780";"101.0"
"90780";"5657";"18.0"
"90780";"66675";"130.0"
"66675";"5657";"11.0"
"66675";"402624";"8.0"
"402624";"66675";"13.0"
"11068";"66675";"4.0"
"66675";"102693";"33.0"
"26687";"67572";"4.0"
"50179";"66675";"77.0"
"1443767";"143308";"11.0"
"66675";"3580055";"8.0"
"3580055";"67572";"1.0"
"709289";"179778";"21.0"
"66675";"208829";"3.0"
"66675";"207829";"126.0"
"75410";"413220";"5.0"
"66675";"413220";"30.0"
"341930";"1429581";"2.0"
"1429581";"341930";"3.0"
"424690";"67572";"2.0"
"90780";"67572";"50.0"
"341930";"66675";"38.0"
"66675";"143308";"33.0"
"2516858";"66675";"6.0"
"183561";"12657";"15.0"
"12657";"67572";"15.0"
"172867";"2377664";"3.0"
"2377664";"207829";"3.0"
"207829";"66675";"64.0"
"66675";"2391399";"6.0"
"67572";"23891";"137.0"
"66675";"23891";"104.0"
"179778";"23891";"15.0"
"102693";"23891";"5.0"
"102693";"51438";"5.0"
"51438";"23891";"28.0"
"218616";"66675";"24.0"
"1727590";"218616";"9.0"
"218616";"207829";"3.0"
"66675";"172867";"3.0"
"172867";"66675";"12.0"
"66675";"1727590";"1.0"
"1727590";"66675";"3.0"
"66675";"218616";"6.0"
"37548";"66675";"37.0"
"37548";"67572";"11.0"
"66675";"61223";"196.0"
"1103922";"316694";"1.0"
"316694";"5996654";"3.0"
"5996654";"66675";"43.0"
"66675";"12657";"22.0"
"90780";"179778";"5.0"
"66675";"699108";"6.0"
"699108";"66675";"4.0"
