"source";"target";"weight"
"337375";"179778";"116.0"
"66675";"179778";"5602.0"
"66675";"75410";"38.0"
"2663194";"75410";"1.0"
"66675";"150478";"32.0"
"179778";"150478";"85.0"
"709289";"179778";"52.0"
"179778";"183561";"809.0"
"233248";"179778";"111.0"
"179778";"66675";"225.0"
"870861";"179778";"30.0"
"50179";"179778";"61.0"
"66675";"37548";"25.0"
"425846";"179778";"5.0"
"685878";"66675";"4.0"
"66675";"67572";"124.0"
"23891";"67572";"5.0"
"207829";"179778";"6.0"
"337375";"26687";"1.0"
"2904361";"179778";"9.0"
"1443767";"143308";"1.0"
"1198089";"2904361";"1.0"
"1778799";"1238664";"1.0"
"1759463";"66675";"19.0"
"66675";"207829";"32.0"
"2377664";"413220";"5.0"
"66675";"413220";"4.0"
"102693";"67572";"1.0"
"90780";"424690";"2.0"
"90780";"67572";"5.0"
"66675";"143308";"71.0"
"12657";"67572";"2.0"
"90780";"23891";"1.0"
"207829";"172867";"2.0"
"37548";"66675";"3.0"
"37548";"67572";"1.0"
"178114";"2904361";"1.0"
"66675";"201149";"263.0"
"531532";"201149";"1.0"
"337375";"201149";"6.0"
"67572";"23891";"9.0"
"66675";"23891";"30.0"
"207829";"201149";"2.0"
"66675";"699108";"1.0"
"870861";"201149";"8.0"
"66675";"815109";"1.0"
"413220";"201149";"2.0"
"66675";"402624";"18.0"
"179778";"201149";"5.0"
"66675";"90780";"4.0"
"531532";"179778";"4.0"
"207829";"61223";"1.0"
"5996654";"179778";"2.0"
"75410";"66675";"15.0"
"37548";"201149";"1.0"
"709289";"201149";"11.0"
"66675";"61223";"17.0"
"300459";"201149";"3.0"
"1443767";"201149";"2.0"
"66675";"183561";"15.0"
"207829";"420883";"2.0"
"1759463";"178114";"1.0"
"23891";"79386";"77.0"
"1759463";"179778";"1.0"
"50179";"201149";"1.0"
"12022";"61223";"7.0"
"233248";"201149";"1.0"
"66675";"337375";"5.0"
"233248";"904016";"12.0"
"66675";"870861";"2.0"
"413220";"179778";"9.0"
"337375";"2179792";"2.0"
"207829";"66675";"8.0"
"66675";"50179";"4.0"
"66675";"665748";"1.0"
"5996654";"201149";"1.0"
"23966";"12149";"2.0"
"66675";"425846";"19.0"
"6756491";"66675";"1.0"
"150478";"183561";"57.0"
"11068";"66675";"479.0"
"1663444";"66675";"3.0"
"178114";"179778";"1.0"
"1443767";"179778";"4.0"
"179778";"23891";"2.0"
"179778";"67572";"11.0"
"5996654";"150478";"1.0"
"66675";"292214";"1.0"
"207829";"413220";"1.0"
"179778";"340246";"3.0"
"5996654";"12657";"1.0"
"90780";"37548";"1.0"
"341930";"66675";"2.0"
"66675";"5446";"2.0"
"67572";"5446";"7.0"
"12022";"5446";"1.0"
"90780";"66675";"3.0"
"66675";"2172401";"1.0"
"12022";"5657";"11.0"
"11068";"179778";"6.0"
"179778";"5657";"12.0"
"306191";"5657";"23.0"
"66675";"1329733";"21.0"
"66675";"5657";"5.0"
"195239";"5657";"63.0"
"1418137";"61223";"1.0"
"66675";"89411";"2.0"
"337375";"535396";"3.0"
"70696";"66675";"1.0"
"292214";"2566";"1.0"
"870861";"150478";"1.0"
"337375";"66675";"20.0"
"224440";"67572";"1.0"
"51438";"67572";"1.0"
"1418137";"75410";"1.0"
"66675";"39457";"1.0"
"207829";"183561";"1.0"
"420883";"66675";"1.0"
"425846";"150478";"25.0"
"214436";"66675";"61.0"
"179778";"12657";"1.0"
"5996654";"66675";"79.0"
"67572";"51438";"1.0"
"497870";"191786";"1.0"
"79386";"191786";"1.0"
"66675";"70696";"1.0"
"3580055";"67572";"1.0"
"400383";"413220";"1.0"
"2377664";"145231";"1.0"
"66675";"214436";"1.0"
"66675";"11068";"2.0"
"709289";"66675";"2.0"
"5996654";"214436";"2.0"
"5996654";"2332285";"1.0"
"37548";"5657";"1.0"
"90780";"5657";"7.0"
"211154";"66675";"285.0"
"66675";"10610";"1.0"
"420883";"183561";"1.0"
"126370";"67572";"1.0"
"66675";"420883";"1.0"
"191786";"23891";"1.0"
"207829";"67572";"1.0"
"66675";"722137";"1.0"
"90780";"531532";"1.0"
"17286";"1440848";"1.0"
"23891";"51438";"3.0"
"4363";"66675";"1.0"
"66675";"50624";"1.0"
"92075";"211154";"11.0"
"66675";"51438";"3.0"
"66675";"12149";"1.0"
"66675";"23966";"1.0"
"2583033";"179778";"1.0"
"1103922";"66675";"1.0"
"530603";"521600";"1.0"
"66675";"521600";"13.0"
"118021";"521600";"1.0"
"23891";"521600";"14.0"
"66675";"340246";"5.0"
"337375";"135299";"1.0"
