"source";"target";"weight"
"201149";"179778";"100973.0"
"179778";"6497478";"2.0"
"201149";"6497478";"2.0"
"179778";"66675";"7475.0"
"201149";"66675";"6072.0"
"66675";"179778";"20590.0"
"179778";"870861";"174.0"
"201149";"870861";"115.0"
"870861";"179778";"507.0"
"67572";"66675";"1866.0"
"66675";"67572";"1729.0"
"67572";"362997";"12.0"
"2678738";"66675";"2.0"
"2678738";"67572";"1.0"
"179778";"413220";"55.0"
"201149";"413220";"12.0"
"535396";"337375";"10.0"
"67572";"23891";"307.0"
"183561";"23891";"11.0"
"66675";"23891";"567.0"
"3386018";"179778";"796.0"
"207829";"1329733";"4.0"
"207829";"66675";"590.0"
"66675";"207829";"339.0"
"207829";"61223";"17.0"
"66675";"50179";"100.0"
"66675";"183561";"763.0"
"402624";"66675";"110.0"
"67572";"102693";"70.0"
"67572";"179778";"269.0"
"233248";"66675";"148.0"
"233248";"67572";"2.0"
"340246";"179778";"108.0"
"340246";"183561";"21.0"
"413220";"179778";"93.0"
"413220";"183561";"65.0"
"75410";"179778";"26.0"
"1329733";"179778";"131.0"
"207829";"179778";"372.0"
"179778";"150478";"590.0"
"201149";"150478";"26.0"
"420883";"207829";"2.0"
"90780";"66675";"378.0"
"90780";"67572";"96.0"
"66675";"90780";"990.0"
"90780";"5657";"3903.0"
"218616";"90780";"70.0"
"218616";"5657";"8.0"
"339581";"90780";"37.0"
"339581";"5657";"423.0"
"420883";"37548";"5.0"
"420883";"90780";"47.0"
"218616";"66675";"153.0"
"341930";"90780";"63.0"
"341930";"66675";"59.0"
"66675";"37548";"223.0"
"420883";"66675";"70.0"
"2516858";"66675";"18.0"
"2516858";"90780";"8.0"
"339581";"66675";"1.0"
"90780";"685878";"6.0"
"90780";"23891";"54.0"
"66675";"685878";"44.0"
"207829";"90780";"26.0"
"207829";"685878";"13.0"
"207829";"67572";"81.0"
"207829";"23891";"95.0"
"90780";"337375";"15.0"
"66675";"337375";"212.0"
"594009";"337375";"26.0"
"90780";"424690";"20.0"
"218616";"424690";"38.0"
"90780";"37548";"5.0"
"90780";"5446";"5.0"
"90780";"136303";"1.0"
"37548";"90780";"26.0"
"37548";"5446";"6.0"
"37548";"136303";"1.0"
"218616";"37548";"91.0"
"218616";"5446";"16.0"
"218616";"136303";"4.0"
"2516858";"37548";"1.0"
"2516858";"5446";"3.0"
"2516858";"136303";"1.0"
"90780";"179778";"51.0"
"90780";"183561";"30.0"
"90780";"12657";"2.0"
"90780";"50179";"5.0"
"129060";"90780";"6.0"
"129060";"66675";"6.0"
"129060";"23891";"8.0"
"129060";"67572";"2.0"
"129060";"179778";"4.0"
"129060";"183561";"2.0"
"129060";"12657";"2.0"
"129060";"50179";"3.0"
"129060";"5657";"1.0"
"66675";"12657";"40.0"
"66675";"5657";"5924.0"
"218616";"207829";"4.0"
"66675";"424690";"52.0"
"218616";"23891";"12.0"
"594009";"67572";"37.0"
"3197428";"337375";"6.0"
"2391399";"67572";"5.0"
"2391399";"66675";"10.0"
"2391399";"23891";"1.0"
"2391399";"337375";"2.0"
"2583033";"179778";"1271.0"
"143308";"66675";"96.0"
"337375";"179778";"241.0"
"90780";"978504";"5.0"
"218616";"1198089";"19.0"
"51438";"66675";"169.0"
"51438";"23891";"101.0"
"51438";"67572";"123.0"
"66675";"11068";"651.0"
"201149";"11068";"1.0"
"11068";"179778";"178.0"
"2583033";"11068";"1.0"
"521600";"66675";"12.0"
"66675";"150478";"1301.0"
"150478";"66675";"127.0"
"150478";"179778";"161.0"
"870861";"150478";"60.0"
"5996654";"150478";"86.0"
"5996654";"179778";"132.0"
"316694";"150478";"57.0"
"316694";"179778";"3.0"
"2805126";"150478";"4.0"
"2805126";"179778";"1.0"
"521600";"23891";"14.0"
"191786";"23891";"19.0"
"23891";"183561";"401.0"
"67572";"183561";"2136.0"
"183561";"179778";"978.0"
"183561";"150478";"336.0"
"89411";"179778";"13.0"
"89411";"183561";"30.0"
"89411";"150478";"2.0"
"183561";"66675";"267.0"
"150478";"183561";"5.0"
"66675";"3580055";"130.0"
"3580055";"183561";"5.0"
"23891";"67572";"422.0"
"85516";"183561";"19.0"
"85516";"67572";"13.0"
"92075";"66675";"19.0"
"92075";"67572";"2.0"
"89411";"66675";"37.0"
"89411";"67572";"30.0"
"179778";"67572";"102.0"
"67572";"37548";"92.0"
"424690";"978504";"13.0"
"179778";"37548";"34.0"
"3197428";"424690";"5.0"
"3197428";"1198089";"1.0"
"2516858";"424690";"21.0"
"2516858";"1198089";"3.0"
"424690";"1198089";"5.0"
"420883";"978504";"2.0"
"420883";"1198089";"2.0"
"85516";"66675";"10.0"
"66675";"709289";"155.0"
"709289";"66675";"157.0"
"207829";"709289";"14.0"
"2377664";"66675";"217.0"
"2377664";"709289";"13.0"
"2805126";"66675";"38.0"
"1443767";"66675";"46.0"
"61223";"66675";"287.0"
"61223";"75410";"123.0"
"66675";"75410";"329.0"
"66675";"61223";"219.0"
"75410";"61223";"3.0"
"2663194";"75410";"3.0"
"2663194";"61223";"1.0"
"713836";"179778";"90.0"
"34555";"66675";"38.0"
"158826";"709289";"13.0"
"158826";"66675";"3.0"
"23891";"66675";"477.0"
"23891";"179778";"44.0"
"23891";"51438";"86.0"
"23891";"150478";"21.0"
"23891";"3580055";"16.0"
"183561";"67572";"38.0"
"183561";"51438";"4.0"
"183561";"3580055";"7.0"
"150478";"67572";"2.0"
"150478";"51438";"4.0"
"150478";"3580055";"14.0"
"340246";"66675";"31.0"
"183561";"425846";"1.0"
"66675";"425846";"273.0"
"413220";"425846";"1.0"
"66675";"1103922";"11.0"
"3580055";"66675";"11.0"
"3580055";"67572";"11.0"
"3580055";"23891";"2.0"
"3580055";"1103922";"1.0"
"1103922";"66675";"31.0"
"1103922";"67572";"2.0"
"1103922";"23891";"5.0"
"66675";"4363";"24.0"
"413220";"150478";"25.0"
"12657";"183561";"108.0"
"12657";"3580055";"1.0"
"413220";"3580055";"13.0"
"50179";"183561";"30.0"
"50179";"3580055";"1.0"
"37548";"75410";"2.0"
"37548";"66675";"91.0"
"179778";"11068";"461.0"
"11068";"66675";"481.0"
"66675";"402624";"23.0"
"424690";"66675";"52.0"
"424690";"402624";"2.0"
"402624";"424690";"2.0"
