"source";"target";"weight"
"1240960";"2878648";"4.0"
"3573327";"402696";"6.0"
"706698";"499911";"102.0"
"499911";"680178";"10.0"
"13314";"996901";"1.0"
"2899183";"1283544";"1.0"
"2883090";"996901";"7.0"
"4803639";"2883594";"14.0"
"4803636";"2883594";"2.0"
"172172";"2883594";"3.0"
"145342";"2998482";"6941.0"
"1674390";"680178";"4.0"
"2175759";"240047";"22.0"
"3642846";"189508";"1.0"
"2909744";"169322";"100.0"
"3573327";"2883546";"383.0"
"2698148";"169322";"92.0"
"3573327";"62734";"89.0"
"91601";"2883546";"47.0"
"3573327";"91601";"31.0"
"3573327";"3569360";"122.0"
"3569360";"2883546";"22.0"
"2897784";"2864904";"8.0"
"1484613";"2864904";"8.0"
"1240960";"2878730";"20.0"
"3153253";"2878730";"10.0"
"4803636";"2878730";"19.0"
"4803595";"2878730";"12.0"
"4803639";"2878730";"12.0"
"4803595";"4803636";"21.0"
"4803623";"3153253";"7.0"
"4803636";"4803639";"24.0"
"2175759";"402696";"2.0"
"1290410";"781165";"32.0"
"2787436";"338722";"44.0"
"1062191";"2787436";"3.0"
"91601";"2875365";"7.0"
"1240960";"2114591";"29.0"
"2880451";"2114591";"4.0"
"1700207";"1965219";"1.0"
"2748306";"186281";"532.0"
"1240960";"1041755";"111.0"
"338722";"680178";"24.0"
"4803639";"2864974";"16.0"
"4803636";"2890376";"16.0"
"3573327";"2797113";"106.0"
"524942";"2427944";"46.0"
"2698148";"2427944";"30.0"
"2884208";"2427944";"12.0"
"2909744";"2427944";"57.0"
"237056";"2181027";"25.0"
"2998482";"574565";"2.0"
"574565";"781165";"81.0"
"2998482";"2227340";"7.0"
"172172";"2864974";"12.0"
"172172";"2883657";"12.0"
"172172";"2883676";"32.0"
"91601";"419391";"14.0"
"338722";"781165";"137.0"
"1417";"2862562";"15.0"
"348237";"2862562";"57.0"
"1240960";"2879671";"50.0"
"2998482";"2879671";"20.0"
"172172";"2879671";"6.0"
"2748306";"1240960";"59.0"
"781165";"1868001";"13.0"
"3346697";"2748306";"287.0"
"655911";"2871332";"1.0"
"1240960";"1585847";"238.0"
"4803637";"4803639";"9.0"
"91601";"3291228";"8.0"
"499911";"1254330";"2.0"
"1829794";"1254330";"1.0"
"16367";"1254330";"3.0"
"172172";"2872259";"4.0"
"4803595";"2377488";"8.0"
"4803637";"2377488";"8.0"
"4803638";"2377488";"4.0"
"1240960";"2262332";"31.0"
"3346710";"383311";"42.0"
"383311";"2262332";"23.0"
"2875228";"383311";"16.0"
"2998482";"2262332";"97.0"
"2998482";"338722";"151.0"
"2998482";"700473";"4.0"
"781165";"1435531";"7.0"
"4803639";"172172";"27.0"
"172172";"604092";"19.0"
"4466947";"604092";"2.0"
"2998482";"781165";"84.0"
"574565";"1068331";"11.0"
"781165";"1068331";"37.0"
"1068331";"781165";"5.0"
"680178";"1068331";"31.0"
"1239277";"338722";"4.0"
"2377488";"338722";"2.0"
"4803623";"2377488";"4.0"
"1240960";"2880451";"20.0"
"2880451";"2262332";"4.0"
"338722";"2262332";"21.0"
"2998482";"1041755";"37.0"
"2998482";"340028";"38.0"
"443241";"2262332";"4.0"
"402696";"2262332";"2.0"
"172172";"1903670";"43.0"
"4803623";"2890376";"8.0"
"1068331";"2890376";"8.0"
"172172";"2890376";"11.0"
"758964";"2890376";"4.0"
"338722";"237056";"10.0"
"91601";"2886432";"3.0"
"491626";"1707925";"4.0"
"2748306";"781165";"212.0"
"4803639";"2377488";"11.0"
"3642846";"2876849";"1.0"
"2998482";"1290410";"24.0"
"172172";"1290410";"5.0"
"574565";"1290410";"258.0"
"2175759";"350116";"1.0"
"2377488";"1290410";"2.0"
"574565";"2897604";"1.0"
"350075";"338722";"114.0"
"1240960";"2873138";"20.0"
"172172";"2883481";"29.0"
"172172";"338722";"49.0"
"3573327";"1844099";"16.0"
"5032040";"145342";"1.0"
"91601";"574565";"3.0"
"574565";"338722";"84.0"
"3349715";"1844099";"12.0"
"5470";"338722";"4.0"
"91601";"2698148";"12.0"
"680178";"2016912";"5.0"
"4803637";"338722";"19.0"
"4803595";"2883546";"10.0"
"3573327";"4803636";"6.0"
"4803636";"2883546";"15.0"
"91601";"781165";"22.0"
"14145";"338722";"79.0"
