"source";"target";"weight";"type"
"2859163";"172172";"1.007671557198438";"undirected"
"2859163";"1290410";"1.116696984867613";"undirected"
"2859163";"680178";"1.1633322870543885";"undirected"
"2859163";"3346697";"1.0132564102458965";"undirected"
"2859163";"1700207";"1.0965301770947549";"undirected"
"2859163";"516518";"1.0807244314671764";"undirected"
"2859163";"57763";"1.1344375470505366";"undirected"
"2859163";"3801561";"1.1014577131366936";"undirected"
"2859163";"864704";"1.069231423728586";"undirected"
"2859163";"631252";"1.157560015709919";"undirected"
"2859163";"1122819";"1.0000171122392836";"undirected"
"2859163";"3346965";"1.0003473687920765";"undirected"
"2859163";"2359952";"1.000145073499425";"undirected"
"2859163";"86656";"1.0000549108090038";"undirected"
"2859163";"524942";"1.068987134970659";"undirected"
"2859163";"2884208";"4.433542662907192";"undirected"
"2859163";"1000106";"1.0000091421672983";"undirected"
"2859163";"2843352";"1.0000012951606103";"undirected"
"2859163";"2843365";"1.000002314846324";"undirected"
"2859163";"201470";"1.1098647563442974";"undirected"
"2859163";"709400";"1.0001628287806352";"undirected"
"2859163";"2909028";"1.6848140560783393";"undirected"
"2859163";"2909044";"1.0000017560805652";"undirected"
"2859163";"2511817";"1.1287764351649414";"undirected"
"2859163";"62534";"1.0962855356876964";"undirected"
"2859163";"574565";"1.0682929299410515";"undirected"
"2859163";"4326573";"1.120998022069892";"undirected"
"2859163";"1238306";"1.0738413336645471";"undirected"
"2859163";"3863917";"1.0001153452242557";"undirected"
"2859163";"169322";"3.0605835785769324";"undirected"
"2859163";"4097411";"1.0000997079582061";"undirected"
"2859163";"2885099";"1.115987456347532";"undirected"
"2859163";"3642846";"1.0229010649449173";"undirected"
"2859163";"91601";"1.142681161115137";"undirected"
"2859163";"2876849";"1.335259263224473";"undirected"
"2859163";"2512411";"1.1867122938739965";"undirected"
"2859163";"751192";"1.0474296263807608";"undirected"
"2859163";"2909744";"1.6190305608641888";"undirected"
"2859163";"2516598";"1.1263272642669675";"undirected"
"2859163";"2303610";"1.0169719182286037";"undirected"
"2859163";"2557649";"1.0000020317063671";"undirected"
"2859163";"34522";"1.0309155385039297";"undirected"
"2859163";"2864904";"1.0000226499046079";"undirected"
"2859163";"1947422";"1.271680159373413";"undirected"
"2859163";"1484613";"1.1381729555044942";"undirected"
"2859163";"2897784";"1.1415092616775484";"undirected"
"2859163";"2889667";"1.000036091317884";"undirected"
"2859163";"239657";"1.0286124448175618";"undirected"
"2859163";"2881542";"1.000004680891656";"undirected"
"2859163";"178297";"1.022690081075106";"undirected"
"2859163";"2328739";"1.0000405678155828";"undirected"
"2859163";"2631846";"1.1584630727395446";"undirected"
"2859163";"2246937";"1.1525309028217845";"undirected"
"2859163";"2861330";"1.0867739865861659";"undirected"
"2859163";"383311";"1.0654415682111162";"undirected"
"2859163";"2238787";"1.2566727892694454";"undirected"
"2859163";"2877992";"1.0377443839165041";"undirected"
"2859163";"522853";"1.009415073499531";"undirected"
"2859163";"2878023";"1.1817623487293742";"undirected"
"2859163";"482045";"1.012423526658273";"undirected"
"2859163";"1772322";"1.1080393057073838";"undirected"
"2859163";"338722";"1.150807296703501";"undirected"
"2859163";"781165";"1.0719697782698872";"undirected"
"2859163";"2698148";"1.1331061587783446";"undirected"
"2859163";"1829794";"1.182065485413416";"undirected"
"2859163";"2878384";"1.0000248745475813";"undirected"
"2859163";"4803639";"1.0854241709826573";"undirected"
"2859163";"4803636";"1.070913179926967";"undirected"
"2859163";"4803638";"1.1371232822454511";"undirected"
"2859163";"4803637";"1.130573140478085";"undirected"
"2859163";"2427944";"1.7871066608351027";"undirected"
"2859163";"4803595";"1.0840965979428365";"undirected"
"2859163";"4803623";"1.1012645615909262";"undirected"
"2859163";"1486007";"1.2480756437230702";"undirected"
"2859163";"3591356";"1.0000056694697517";"undirected"
"2859163";"3829024";"1.000004121236435";"undirected"
"2859163";"1068331";"1.128579103078483";"undirected"
"2859163";"3272019";"1.1789528219679808";"undirected"
"2859163";"2878777";"3.0874921391371792";"undirected"
"2859163";"2870682";"1.0001122406973502";"undirected"
"2859163";"2797113";"1.0038435693519907";"undirected"
"2859163";"4554595";"1.0000041662405061";"undirected"
"2859163";"3415798";"1.0312559406153783";"undirected"
"2859163";"2883481";"1.0000258612019417";"undirected"
"2859163";"2748306";"1.1446934425614108";"undirected"
"2859163";"2867181";"1.9156415232308532";"undirected"
"2859163";"2867310";"1.0435391302775034";"undirected"
"2859163";"491626";"1.07408946303602";"undirected"
"4222";"3395738";"1.007798047945208";"undirected"
"4222";"172172";"1.0003946031848079";"undirected"
"4222";"1290410";"1.0003242547840667";"undirected"
"4222";"2863241";"1.0004055713184048";"undirected"
"4222";"2998482";"1.0002722013849994";"undirected"
"4222";"3752147";"1.1214594537633276";"undirected"
"4222";"499911";"1.0002982822752124";"undirected"
"4222";"4014289";"1.007577474291206";"undirected"
"4222";"1868001";"1.0000306925859106";"undirected"
"4222";"2891979";"1.0001921248476704";"undirected"
"4222";"680178";"1.0002589145815568";"undirected"
"4222";"3346697";"1.0001422543609817";"undirected"
"4222";"3715322";"1.0003077769626205";"undirected"
"4222";"1818947";"1.2340547784341434";"undirected"
"4222";"1700207";"1.000282957992894";"undirected"
"4222";"414089";"1.0002604296549131";"undirected"
"4222";"156047";"1.0005231039612625";"undirected"
"4222";"516518";"1.0003492144773571";"undirected"
"4222";"57763";"1.0000864995371375";"undirected"
"4222";"3801561";"1.0002657387868061";"undirected"
"4222";"864704";"1.000224146710754";"undirected"
"4222";"1860075";"1.0079921365680398";"undirected"
"4222";"631252";"1.000106545378697";"undirected"
"4222";"217578";"1.0005629274905214";"undirected"
"4222";"4350515";"1.0002518517469032";"undirected"
"4222";"2859566";"1.0001050324299092";"undirected"
"4222";"25107";"1.3207370471262312";"undirected"
"4222";"2359952";"1.4944909765167074";"undirected"
"4222";"524942";"1.0003828668862678";"undirected"
"4222";"1000106";"1.0002228366464179";"undirected"
"4222";"4518516";"1.0062275571654455";"undirected"
"4222";"2843352";"1.2124949072023898";"undirected"
"4222";"1585847";"1.0000763530065326";"undirected"
"4222";"3388114";"1.0007414621036634";"undirected"
"4222";"2843360";"1.0000360311691665";"undirected"
"4222";"2843365";"1.2079068172416343";"undirected"
"4222";"1225423";"1.0005714050293704";"undirected"
"4222";"2175759";"1.0003463243817197";"undirected"
"4222";"2843377";"1.655716435833285";"undirected"
"4222";"37659";"1.0000284921095641";"undirected"
"4222";"4563715";"1.0005354285323242";"undirected"
"4222";"152400";"1.009544257644402";"undirected"
"4222";"443241";"1.0004728957461282";"undirected"
"4222";"4363190";"1.0989708464864998";"undirected"
"4222";"1844099";"1.4339438056814067";"undirected"
"4222";"1794989";"1.109392167646156";"undirected"
"4222";"2909044";"1.0887666574741872";"undirected"
"4222";"1254330";"1.0000770283144311";"undirected"
"4222";"500683";"1.0000432539257937";"undirected"
"4222";"4350861";"1.0002948987857407";"undirected"
"4222";"1258462";"1.0002515979514974";"undirected"
"4222";"2511817";"1.0003629241935";"undirected"
"4222";"3011522";"1.0006443352371357";"undirected"
"4222";"4604988";"1.1493796228499609";"undirected"
"4222";"2880532";"1.0007021205426088";"undirected"
"4222";"2114591";"1.5692265119713382";"undirected"
"4222";"672777";"1.9169121997385914";"undirected"
"4222";"13314";"1.0004219943381971";"undirected"
"4222";"1197054";"1.0000162527866538";"undirected"
"4222";"455687";"1.0004926392408928";"undirected"
"4222";"4539384";"1.4131674815758406";"undirected"
"4222";"189508";"1.0000565403568369";"undirected"
"4222";"62534";"1.0000401168158704";"undirected"
"4222";"2143334";"1.0025435447182303";"undirected"
"4222";"74857";"1.0005054166895915";"undirected"
"4222";"574565";"1.0001344305084274";"undirected"
"4222";"3789981";"1.0020704751963856";"undirected"
"4222";"1660108";"1.0003388015757433";"undirected"
"4222";"2876623";"1.0000731557219702";"undirected"
"4222";"2323675";"1.0000266694816218";"undirected"
"4222";"2323686";"1.031203098231634";"undirected"
"4222";"2843884";"1.0001248384914834";"undirected"
"4222";"1799405";"1.0002138818907425";"undirected"
"4222";"4326573";"1.0000478291363062";"undirected"
"4222";"4941112";"1.0826260626032203";"undirected"
"4222";"2749737";"1.0502910347391856";"undirected"
"4222";"402696";"1.0000948620619288";"undirected"
"4222";"1238306";"1.0002677131767683";"undirected"
"4222";"2323699";"1.0007088758597988";"undirected"
"4222";"226627";"1.0000484164194596";"undirected"
"4222";"2884961";"1.1401938637295161";"undirected"
"4222";"1041755";"1.0002575690700408";"undirected"
"4222";"2102589";"1.0997851325572308";"undirected"
"4222";"2262332";"1.488332560868613";"undirected"
"4222";"5470";"1.0001500737231745";"undirected"
"4222";"2860354";"1.0000323688439472";"undirected"
"4222";"2876829";"1.0001160335895964";"undirected"
"4222";"1417";"1.0003044834488934";"undirected"
"4222";"2983284";"1.0000122694633489";"undirected"
"4222";"2749811";"1.0004788316864228";"undirected"
"4222";"1201556";"1.1157132314633593";"undirected"
"4222";"2901456";"1.000151094551754";"undirected"
"4222";"2885099";"1.0003562312281307";"undirected"
"4222";"3642846";"1.0003566169750575";"undirected"
"4222";"91601";"1.0003397362045785";"undirected"
"4222";"1283544";"1.0003850328536692";"undirected"
"4222";"284147";"1.4167398170938061";"undirected"
"4222";"751096";"1.0002509629579754";"undirected"
"4222";"2512411";"1.0001421395583445";"undirected"
"4222";"2876919";"1.0603895844613387";"undirected"
"4222";"2119174";"1.0001566744785513";"undirected"
"4222";"996901";"1.4700065850415571";"undirected"
"4222";"2876927";"1.0296809000486697";"undirected"
"4222";"3573327";"1.0007537045416763";"undirected"
"4222";"751192";"1.0002487442937156";"undirected"
"4222";"2872896";"1.485117624383332";"undirected"
"4222";"2303631";"1.006894622451961";"undirected"
"4222";"2516598";"1.0002832658258192";"undirected"
"4222";"2303610";"1.0001884788806485";"undirected"
"4222";"2016912";"1.0001824375287773";"undirected"
"4222";"2557649";"1.2072865332418863";"undirected"
"4222";"3569360";"1.0004525815974454";"undirected"
"4222";"1062628";"1.0000986637721647";"undirected"
"4222";"34522";"1.0003745858295436";"undirected"
"4222";"2897604";"1.0253039537976947";"undirected"
"4222";"2377488";"1.0005008717463004";"undirected"
"4222";"1414923";"1.0001491946796497";"undirected"
"4222";"1050359";"1.1479097972891164";"undirected"
"4222";"2021104";"1.0004498890407343";"undirected"
"4222";"2864904";"1.2416605420678541";"undirected"
"4222";"1484613";"1.0003523090398476";"undirected"
"4222";"4790023";"1.0680117627214316";"undirected"
"4222";"14145";"1.000446145491423";"undirected"
"4222";"2774884";"1.0000109213489623";"undirected"
"4222";"2389909";"1.0003457892707708";"undirected"
"4222";"350075";"1.013027371163126";"undirected"
"4222";"2008945";"1.0002854671628842";"undirected"
"4222";"2897784";"1.0003597266955857";"undirected"
"4222";"2254710";"1.0002033219537174";"undirected"
"4222";"92055";"1.0686991099167011";"undirected"
"4222";"4212701";"1.0003653325763813";"undirected"
"4222";"350116";"1.0002402822636738";"undirected"
"4222";"145342";"1.0003893854707808";"undirected"
"4222";"161730";"1.0001305832616298";"undirected"
"4222";"6085";"1.233015900112885";"undirected"
"4222";"206794";"1.0002677297760738";"undirected"
"4222";"2877413";"1.0077278356202628";"undirected"
"4222";"3930060";"1.1096568475317878";"undirected"
"4222";"2885554";"1.0000598785192514";"undirected"
"4222";"2451478";"1.1864729826549323";"undirected"
"4222";"817175";"1.0165446755955374";"undirected"
"4222";"1284140";"1.0003677399393383";"undirected"
"4222";"239657";"1.0002213926128043";"undirected"
"4222";"198696";"1.000473461118878";"undirected"
"4222";"1738767";"1.0288384433986566";"undirected"
"4222";"149562";"1.0004576589047507";"undirected"
"4222";"2787436";"1.0003302440561586";"undirected"
"4222";"690244";"1.00010929753734";"undirected"
"4222";"2107452";"1.0002283462944437";"undirected"
"4222";"2107454";"1.0043747516796298";"undirected"
"4222";"178297";"1.0003436525124296";"undirected"
"4222";"129150";"1.075880127207672";"undirected"
"4222";"2631846";"1.0003527691344671";"undirected"
"4222";"1239277";"1.0003663976782902";"undirected"
"4222";"2877636";"1.303148438784815";"undirected"
"4222";"129268";"1.0003193063935336";"undirected"
"4222";"2246937";"1.000331856045477";"undirected"
"4222";"2861330";"1.0002249708316764";"undirected"
"4222";"1337589";"1.5833420987534597";"undirected"
"4222";"497960";"1.000348407572086";"undirected"
"4222";"1947975";"1.0009466451403548";"undirected"
"4222";"223555";"1.0700485789926057";"undirected"
"4222";"211273";"1.00008727282894";"undirected"
"4222";"383311";"1.000041230098076";"undirected"
"4222";"2885944";"1.0284577221007905";"undirected"
"4222";"1526123";"1.0005485358656458";"undirected"
"4222";"1235319";"1.0001897675733227";"undirected"
"4222";"711065";"1.000262310465221";"undirected"
"4222";"4106635";"1.0063451713633813";"undirected"
"4222";"2877833";"1.0004901957840455";"undirected"
"4222";"2865586";"1.0002830543554129";"undirected"
"4222";"182754";"1.00000884988151";"undirected"
"4222";"2877980";"1.000370948938113";"undirected"
"4222";"2877992";"1.0003677610979143";"undirected"
"4222";"4467300";"1.0750439186215854";"undirected"
"4222";"223792";"1.000130302752196";"undirected"
"4222";"940592";"1.0156464514271732";"undirected"
"4222";"2878009";"1.184599266759304";"undirected"
"4222";"563803";"1.0000088156945188";"undirected"
"4222";"3086899";"1.000161933648748";"undirected"
"4222";"522853";"1.0003173426449559";"undirected"
"4222";"3693113";"1.185361001169823";"undirected"
"4222";"2878023";"1.000176834701452";"undirected"
"4222";"346735";"1.5863128592048876";"undirected"
"4222";"2865789";"1.0000004313455202";"undirected"
"4222";"4872918";"1.0060411226514467";"undirected"
"4222";"2931333";"1.0004341767928988";"undirected"
"4222";"2632427";"1.0003055830771512";"undirected"
"4222";"39645";"1.149948465004846";"undirected"
"4222";"60125";"1.0164474671091315";"undirected"
"4222";"2505490";"1.0006543112903856";"undirected"
"4222";"2865949";"1.4281915790598616";"undirected"
"4222";"482045";"1.0003967386659962";"undirected"
"4222";"2767658";"1.0000360778643806";"undirected"
"4222";"3898142";"1.094547029928018";"undirected"
"4222";"953112";"1.0005310272564156";"undirected"
"4222";"1772322";"1.0002332949319743";"undirected"
"4222";"338722";"1.0003588537176236";"undirected"
"4222";"4168550";"1.0001301129811153";"undirected"
"4222";"2866000";"1.000790253837833";"undirected"
"4222";"359244";"1.0004537083768636";"undirected"
"4222";"2866022";"1.2376724226231826";"undirected"
"4222";"826176";"1.0003321139285783";"undirected"
"4222";"781165";"1.0003476432981637";"undirected"
"4222";"3345325";"1.0000702189242858";"undirected"
"4222";"2698148";"1.0002955808224872";"undirected"
"4222";"650117";"1.000125298639332";"undirected"
"4222";"1829794";"1.00010431470631";"undirected"
"4222";"2882417";"1.000139859876917";"undirected"
"4222";"4619153";"1.0380455161470155";"undirected"
"4222";"3963844";"1.0019343843839743";"undirected"
"4222";"588755";"1.0007848527359102";"undirected"
"4222";"4803639";"1.0003596523889549";"undirected"
"4222";"4803636";"1.0003468026370157";"undirected"
"4222";"4803638";"1.000363437110927";"undirected"
"4222";"4803637";"1.0003142276335368";"undirected"
"4222";"474133";"1.0002202095817623";"undirected"
"4222";"564252";"1.000516495904383";"undirected"
"4222";"4140040";"1.0004774673079846";"undirected"
"4222";"2899024";"1.009420339245217";"undirected"
"4222";"4803595";"1.000374158920931";"undirected"
"4222";"1567793";"1.0003003553360326";"undirected"
"4222";"4803623";"1.0003537837821361";"undirected"
"4222";"2899022";"1.0001594333523178";"undirected"
"4222";"3021971";"1.000250054920744";"undirected"
"4222";"1965179";"1.0001623828490107";"undirected"
"4222";"2227340";"1.0001557753647334";"undirected"
"4222";"1674390";"1.025327416614401";"undirected"
"4222";"474294";"1.0003860887891134";"undirected"
"4222";"64689";"1.0056548398395109";"undirected"
"4222";"2890967";"1.0031970486332928";"undirected"
"4222";"1723589";"1.706707078894912";"undirected"
"4222";"384195";"1.000293560695443";"undirected"
"4222";"3349715";"1.0002041697557442";"undirected"
"4222";"1486007";"1.0000314324964386";"undirected"
"4222";"2878648";"1.6399258906432024";"undirected"
"4222";"60630";"1.0001000226141072";"undirected"
"4222";"576744";"1.0004040851596487";"undirected"
"4222";"3591356";"1.001089592848602";"undirected"
"4222";"2862363";"1.0005098424037278";"undirected"
"4222";"2870546";"1.0648070757043602";"undirected"
"4222";"212222";"1.0000619171497955";"undirected"
"4222";"2878759";"1.0004141238637636";"undirected"
"4222";"2866415";"1.0007104763849592";"undirected"
"4222";"1068331";"1.000365145408632";"undirected"
"4222";"2866441";"1.0084421558413152";"undirected"
