"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"4980813";"sambal chaulagain";"2";"0";"2";"0";"2";"1";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.5";"0.5";"0.0";"2"
"2875433";"JoeSteele11";"12";"0";"12";"11";"1";"8";"4";"0";"null";"null";"0.0";"1.0";"0.9166666666666666";"0.08333333333333333";"0.6666666666666666";"0.3333333333333333";"0.0";"2"
"4886607";"Di Pesh JuNg ThaKuri";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4259908";"Andrew Yoak";"3";"2";"1";"2";"1";"0";"3";"3";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"1.0";"1"
"2859052";"Zito_V";"576";"0";"576";"575";"1";"155";"421";"6";"null";"null";"0.0";"1.0";"0.9982638888888888";"0.001736111111111111";"0.2690972222222222";"0.7309027777777778";"0.010416666666666666";"1"
"2867235";"earkison08";"71";"70";"1";"70";"1";"71";"0";"0";"null";"null";"0.9859154929577465";"0.014084507042253521";"0.9859154929577465";"0.014084507042253521";"1.0";"0.0";"0.0";"2"
"3342394";"ashis07";"40";"39";"1";"39";"1";"16";"24";"1";"null";"null";"0.975";"0.025";"0.975";"0.025";"0.4";"0.6";"0.025";"3"
"4111";"adenium";"526";"0";"526";"525";"1";"518";"8";"0";"null";"null";"0.0";"1.0";"0.9980988593155894";"0.0019011406844106464";"0.9847908745247148";"0.015209125475285171";"0.0";"6"
"471063";"kritagya";"4";"3";"1";"3";"1";"2";"2";"1";"null";"null";"0.75";"0.25";"0.75";"0.25";"0.5";"0.5";"0.25";"1"
"2879547";"julien8234";"26";"0";"26";"25";"1";"26";"0";"0";"null";"null";"0.0";"1.0";"0.9615384615384616";"0.038461538461538464";"1.0";"0.0";"0.0";"1"
"4485206";"Damien En Rit";"2";"0";"2";"1";"1";"2";"0";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"1.0";"0.0";"0.0";"2"
"311318";"luiswoo";"20";"0";"20";"19";"1";"16";"4";"0";"null";"null";"0.0";"1.0";"0.95";"0.05";"0.8";"0.2";"0.0";"1"
"385046";"Palolo";"10";"0";"10";"9";"1";"10";"0";"0";"null";"null";"0.0";"1.0";"0.9";"0.1";"1.0";"0.0";"0.0";"1"
"1703949";"Guy Maurel KONAN";"8";"0";"8";"0";"8";"8";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"2"
