"source";"target";"weight"
"1240960";"2878648";"1.0"
"145342";"2998482";"2.0"
"145342";"2767658";"1.0"
"2998482";"2767658";"1.0"
"2767658";"781165";"1.0"
"3573327";"402696";"1.0"
"172172";"338722";"2.0"
"706698";"499911";"1.0"
"706698";"680178";"1.0"
"499911";"680178";"1.0"
"13314";"996901";"1.0"
"2899183";"1283544";"1.0"
"2883090";"996901";"1.0"
"4803639";"2883594";"1.0"
"2119174";"149562";"1.0"
"4803636";"2883594";"1.0"
"172172";"2883594";"1.0"
"91601";"524942";"1.0"
"91601";"2909744";"1.0"
"338722";"2909744";"2.0"
"1674390";"680178";"1.0"
"4803639";"2909744";"3.0"
"4803639";"1965179";"1.0"
"1965179";"2909744";"1.0"
"4803638";"2909744";"1.0"
"4803595";"2909744";"2.0"
"2175759";"240047";"1.0"
"527832";"2866000";"1.0"
"3642846";"189508";"1.0"
"2909744";"169322";"1.0"
"3573327";"2883546";"1.0"
"2698148";"169322";"1.0"
"3573327";"62734";"1.0"
"91601";"2883546";"1.0"
"3573327";"91601";"1.0"
"2909744";"85425";"1.0"
"3573327";"3569360";"2.0"
"3569360";"2883546";"1.0"
"2897784";"2864904";"1.0"
"1484613";"2864904";"1.0"
"1240960";"2878730";"1.0"
"3153253";"2878730";"1.0"
"1240960";"2862562";"1.0"
"4803636";"2878730";"1.0"
"4803595";"2878730";"1.0"
"4803639";"2878730";"1.0"
"4803595";"4803636";"2.0"
"4803623";"3153253";"1.0"
"4803623";"2878730";"1.0"
"680178";"1069766";"1.0"
"4803636";"4803639";"1.0"
"224551";"338722";"1.0"
"2175759";"402696";"1.0"
"1290410";"781165";"2.0"
"4803639";"85425";"1.0"
"2787436";"338722";"1.0"
"1062191";"2787436";"1.0"
"172172";"85425";"1.0"
"91601";"85425";"1.0"
"91601";"2875365";"1.0"
"1068331";"85425";"1.0"
"145342";"85425";"1.0"
"2998482";"85425";"1.0"
"4803638";"85425";"1.0"
"91601";"781165";"2.0"
"1240960";"2114591";"1.0"
"2119174";"15299";"1.0"
"145342";"348237";"1.0"
"2998482";"348237";"1.0"
"338722";"348237";"1.0"
"520350";"338722";"5.0"
"2880451";"2114591";"1.0"
"1700207";"1965219";"1.0"
"2748306";"186281";"3.0"
"1290410";"2277026";"1.0"
"1240960";"1041755";"2.0"
"338722";"680178";"1.0"
"3345325";"338722";"1.0"
"781165";"145342";"1.0"
"781165";"2998482";"1.0"
"781165";"2749737";"1.0"
"145342";"2749737";"1.0"
"2998482";"2749737";"1.0"
"4803639";"2864974";"1.0"
"2748306";"2557649";"2.0"
"15299";"781165";"1.0"
"4803636";"2890376";"1.0"
"4803595";"1197054";"2.0"
"4860142";"350116";"1.0"
"3573327";"2797113";"2.0"
"524942";"2427944";"1.0"
"2698148";"2427944";"1.0"
"2884208";"2427944";"1.0"
"2909744";"2427944";"1.0"
"237056";"2181027";"1.0"
"4350861";"145342";"1.0"
"4350861";"2998482";"1.0"
"4860142";"781165";"1.0"
"145342";"574565";"2.0"
"145342";"781165";"2.0"
"2998482";"574565";"2.0"
"2998482";"781165";"2.0"
"574565";"781165";"2.0"
"145342";"1863396";"1.0"
"2998482";"1863396";"1.0"
"145342";"2227340";"1.0"
"2998482";"2227340";"1.0"
"172172";"2864974";"1.0"
"172172";"1586905";"1.0"
"1290410";"2516598";"2.0"
"2909171";"1863396";"1.0"
"172172";"2883657";"1.0"
"172172";"2883676";"1.0"
"1240960";"1863396";"1.0"
"91601";"419391";"1.0"
"237056";"680178";"1.0"
"2767658";"145342";"1.0"
"2767658";"2998482";"1.0"
"91601";"2143334";"1.0"
"338722";"781165";"2.0"
"350116";"2227340";"1.0"
"1417";"2862562";"1.0"
"348237";"2862562";"2.0"
"1240960";"2879671";"1.0"
"145342";"2879671";"1.0"
"2998482";"2879671";"1.0"
"172172";"2879671";"1.0"
"56708";"2098004";"1.0"
"350116";"2098004";"1.0"
"2748306";"1240960";"1.0"
"91601";"1290410";"1.0"
"202837";"1290410";"1.0"
"202837";"781165";"1.0"
"4803595";"3769699";"1.0"
"781165";"1868001";"2.0"
"1700207";"680178";"1.0"
"34497";"1700207";"1.0"
"34497";"680178";"1.0"
"4803638";"2238787";"1.0"
"3346697";"2748306";"2.0"
"3346697";"186281";"3.0"
"655911";"2871332";"1.0"
"2219449";"1863396";"1.0"
"474294";"2983284";"2.0"
"1240960";"1585847";"1.0"
"92055";"781165";"1.0"
"4803637";"4803639";"1.0"
"145342";"2631846";"1.0"
"2998482";"2631846";"1.0"
"91601";"3291228";"2.0"
"543228";"118132";"1.0"
"680178";"2016912";"1.0"
"499911";"1254330";"1.0"
"1829794";"1254330";"1.0"
"145342";"223792";"1.0"
"2998482";"223792";"1.0"
"223792";"2631846";"1.0"
"16367";"1254330";"1.0"
"172172";"2872259";"1.0"
"4803595";"2377488";"1.0"
"4803637";"2377488";"1.0"
"4803638";"2377488";"1.0"
"172172";"2875294";"1.0"
"156047";"338722";"2.0"
"2175759";"149562";"1.0"
"1535323";"2451478";"1.0"
"4916149";"781165";"1.0"
"4916149";"145342";"1.0"
"4916149";"2998482";"1.0"
"1240960";"2262332";"1.0"
"3346710";"383311";"1.0"
"3346710";"2262332";"1.0"
"383311";"2262332";"1.0"
"2875228";"383311";"1.0"
"2875228";"2262332";"1.0"
"145342";"2262332";"1.0"
"2998482";"2262332";"1.0"
"3346710";"1863396";"1.0"
"338722";"1068331";"1.0"
"1068331";"2909744";"1.0"
"2175759";"2016912";"2.0"
"2175759";"92055";"1.0"
"2016912";"92055";"1.0"
"338722";"1868001";"2.0"
