"source";"target";"weight";"type"
"2875544";"2303610";"3.0";"undirected"
"4260019";"2511817";"2.0";"undirected"
"4260019";"2877194";"2.0";"undirected"
"4260019";"2748306";"1.0";"undirected"
"2859163";"16706";"3.0";"undirected"
"2859163";"57763";"2.0";"undirected"
"2859163";"2884208";"1.0";"undirected"
"2859163";"2872200";"3.0";"undirected"
"2859163";"169322";"1.0";"undirected"
"2859163";"2512411";"2.0";"undirected"
"2859163";"2909744";"3.0";"undirected"
"2859163";"2103363";"3.0";"undirected"
"2859163";"178297";"1.0";"undirected"
"2859163";"2238787";"4.0";"undirected"
"2859163";"338722";"3.0";"undirected"
"2859163";"2698148";"4.0";"undirected"
"2859163";"4164761";"3.0";"undirected"
"2859163";"2878777";"1.0";"undirected"
"2859163";"2870682";"4.0";"undirected"
"2859163";"2748306";"2.0";"undirected"
"4222";"2998482";"4.0";"undirected"
"4222";"516518";"4.0";"undirected"
"4222";"217578";"1.0";"undirected"
"4222";"655911";"3.0";"undirected"
"4222";"524942";"4.0";"undirected"
"4222";"500683";"3.0";"undirected"
"4222";"3573327";"3.0";"undirected"
"4222";"2872896";"1.0";"undirected"
"4222";"2377488";"1.0";"undirected"
"4222";"2389909";"1.0";"undirected"
"4222";"145342";"1.0";"undirected"
"4222";"2246937";"2.0";"undirected"
"4222";"338722";"1.0";"undirected"
"4222";"359244";"1.0";"undirected"
"4222";"2858905";"1.0";"undirected"
"4222";"2748306";"4.0";"undirected"
"4222";"2871332";"1.0";"undirected"
"2879658";"4803595";"3.0";"undirected"
"311429";"1235319";"1.0";"undirected"
"385157";"217578";"1.0";"undirected"
"385157";"359244";"1.0";"undirected"
"385157";"491626";"3.0";"undirected"
"1704060";"2875764";"1.0";"undirected"
"1704060";"1240960";"3.0";"undirected"
"3395738";"1738767";"1.0";"undirected"
"3395738";"92385";"1.0";"undirected"
"172172";"1290410";"5.0";"undirected"
"172172";"2863241";"5.0";"undirected"
"172172";"2998482";"5.0";"undirected"
"172172";"2892012";"3.0";"undirected"
"172172";"2875623";"4.0";"undirected"
"172172";"499911";"1.0";"undirected"
"172172";"2879671";"4.0";"undirected"
"172172";"680178";"2.0";"undirected"
"172172";"3346697";"1.0";"undirected"
"172172";"1179972";"4.0";"undirected"
"172172";"1237354";"4.0";"undirected"
"172172";"2871724";"4.0";"undirected"
"172172";"1700207";"5.0";"undirected"
"172172";"414089";"1.0";"undirected"
"172172";"516518";"1.0";"undirected"
"172172";"2920845";"1.0";"undirected"
"172172";"57763";"1.0";"undirected"
"172172";"3801561";"1.0";"undirected"
"172172";"864704";"4.0";"undirected"
"172172";"631252";"1.0";"undirected"
"172172";"217578";"1.0";"undirected"
"172172";"4350515";"1.0";"undirected"
"172172";"2871886";"1.0";"undirected"
"172172";"2359952";"4.0";"undirected"
"172172";"1663615";"4.0";"undirected"
"172172";"524942";"1.0";"undirected"
"172172";"98987";"1.0";"undirected"
"172172";"2876122";"2.0";"undirected"
"172172";"2880216";"1.0";"undirected"
"172172";"1585847";"1.0";"undirected"
"172172";"2843359";"4.0";"undirected"
"172172";"2843365";"4.0";"undirected"
"172172";"2175759";"4.0";"undirected"
"172172";"2843377";"4.0";"undirected"
"172172";"4563715";"1.0";"undirected"
"172172";"2909028";"4.0";"undirected"
"172172";"443241";"1.0";"undirected"
"172172";"2548623";"4.0";"undirected"
"172172";"578473";"4.0";"undirected"
"172172";"2524133";"1.0";"undirected"
"172172";"1254330";"1.0";"undirected"
"172172";"4350861";"1.0";"undirected"
"172172";"2511817";"1.0";"undirected"
"172172";"3011522";"1.0";"undirected"
"172172";"2872259";"4.0";"undirected"
"172172";"13314";"1.0";"undirected"
"172172";"1197054";"3.0";"undirected"
"172172";"455687";"1.0";"undirected"
"172172";"2872306";"3.0";"undirected"
"172172";"574565";"5.0";"undirected"
"172172";"2851971";"3.0";"undirected"
"172172";"2323675";"1.0";"undirected"
"172172";"2323686";"3.0";"undirected"
"172172";"2843884";"4.0";"undirected"
"172172";"4326573";"1.0";"undirected"
"172172";"2872515";"2.0";"undirected"
"172172";"926962";"1.0";"undirected"
"172172";"1238306";"6.0";"undirected"
"172172";"2893039";"2.0";"undirected"
"172172";"2860382";"4.0";"undirected"
"172172";"4257012";"1.0";"undirected"
"172172";"1041755";"6.0";"undirected"
"172172";"2262332";"3.0";"undirected"
"172172";"2860354";"4.0";"undirected"
"172172";"1417";"1.0";"undirected"
"172172";"2749811";"3.0";"undirected"
"172172";"2885099";"1.0";"undirected"
"172172";"3642846";"1.0";"undirected"
"172172";"91601";"2.0";"undirected"
"172172";"1910253";"1.0";"undirected"
"172172";"1283544";"5.0";"undirected"
"172172";"751096";"4.0";"undirected"
"172172";"2512411";"1.0";"undirected"
"172172";"2876965";"1.0";"undirected"
