"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"4980924";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875544";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"4886718";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4260019";"0.0";"0.0";"0.0";"2.0";"3.0";"0.0";"0.0";"0.56";"0.4583333333333333";"0.23333333333333334"
"2859163";"12.0";"12.0";"0.0";"8.0";"5.0";"3.0";"0.0";"0.8852083333333335";"0.151252408477842";"0.11433278418451401"
"2867346";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3342505";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4222";"8.0";"9.0";"0.0";"15.0";"4.0";"0.0";"0.0";"0.8191872427983539";"0.1580952380952381";"0.15516483516483517"
"471174";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2879658";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7777777777777779";"null";"0.0"
"4485317";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"311429";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"385157";"1.0";"1.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.6533333333333334";"0.1111111111111111";"0.05714285714285714"
"1704060";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.0";"0.0"
"3395738";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.5833333333333334";"null";"0.0"
"4726976";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3215518";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"172172";"118.0";"120.0";"7.0";"154.0";"94.0";"112.0";"0.0";"0.9324918607563237";"0.03305244473722735";"0.02991564008258248"
"2883746";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"667801";"18.0";"19.0";"1.0";"28.0";"12.0";"7.0";"0.0";"0.8981314878892733";"0.06801858893113646";"0.04509169363538296"
"1949870";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
