"source";"target";"weight"
"1240960";"2878648";"5.0"
"2998482";"2767658";"33.0"
"2767658";"781165";"14.0"
"3573327";"402696";"3.0"
"172172";"338722";"34.0"
"13314";"996901";"1.0"
"2883090";"996901";"8.0"
"4803639";"2883594";"1.0"
"1674390";"680178";"4.0"
"4803639";"2909744";"208.0"
"2524133";"1903670";"16.0"
"172172";"2399858";"239.0"
"4803639";"1965179";"6.0"
"4803638";"2909744";"26.0"
"4803595";"2909744";"99.0"
"527832";"2866000";"2.0"
"2909744";"169322";"100.0"
"2698148";"169322";"105.0"
"3573327";"62734";"85.0"
"2909744";"85425";"174.0"
"2897784";"2864904";"8.0"
"1484613";"2864904";"5.0"
"4803636";"2878730";"2.0"
"1240960";"2878730";"6.0"
"4803623";"3153253";"2.0"
"224551";"338722";"1.0"
"145342";"2998482";"1833.0"
"2219449";"2326351";"2.0"
"4803595";"2878730";"1.0"
"2998482";"85425";"33.0"
"1797196";"2864626";"29.0"
"2878759";"2545466";"5.0"
"2998482";"348237";"4.0"
"2880451";"2114591";"4.0"
"2748306";"186281";"36.0"
"1290410";"2277026";"1.0"
"1240960";"1041755";"15.0"
"3345325";"338722";"1.0"
"2998482";"2749737";"1.0"
"4803639";"2864974";"6.0"
"4803636";"2890376";"2.0"
"4860142";"350116";"3.0"
"524942";"2427944";"54.0"
"2698148";"2427944";"37.0"
"2884208";"2427944";"15.0"
"2909744";"2427944";"57.0"
"2875888";"338722";"9.0"
"237056";"2181027";"26.0"
"4860142";"781165";"2.0"
"75499";"338722";"1.0"
"2998482";"574565";"3.0"
"574565";"338722";"48.0"
"2932143";"2883516";"5.0"
"2998482";"1863396";"10.0"
"2998482";"2227340";"8.0"
"172172";"1586905";"5.0"
"1290410";"2516598";"15.0"
"172172";"2883657";"15.0"
"91601";"383311";"3.0"
"172172";"2883676";"25.0"
"1240960";"1863396";"5.0"
"1417";"2862562";"12.0"
"2998482";"2879671";"27.0"
"172172";"2879671";"7.0"
"177221";"2631846";"5.0"
"2909744";"217578";"224.0"
"2698148";"217578";"9.0"
"56708";"2098004";"2.0"
"350116";"2098004";"1.0"
"2998482";"2262332";"125.0"
"1283544";"2262332";"22.0"
"2884142";"2767658";"3.0"
"1240960";"2767658";"28.0"
"4803595";"3769699";"1.0"
"1700207";"680178";"3.0"
"34497";"680178";"7.0"
"1240960";"2865131";"4.0"
"655911";"2871332";"1.0"
"474294";"2983284";"16.0"
"1240960";"1585847";"229.0"
"172172";"2871724";"21.0"
"224551";"2273586";"4.0"
"2748306";"2865131";"7.0"
"1239277";"2865131";"14.0"
"1239277";"2748306";"6.0"
"2998482";"2631846";"120.0"
"2862562";"2794863";"5.0"
"680178";"2016912";"5.0"
"499911";"1254330";"1.0"
"2998482";"223792";"7.0"
"172172";"2872259";"5.0"
"650117";"2865131";"11.0"
"1700207";"781165";"7.0"
"1197054";"1903670";"7.0"
"1240960";"2321124";"5.0"
"2998482";"2321124";"9.0"
"2998482";"1240960";"242.0"
"1240960";"2262332";"4.0"
"3346710";"383311";"22.0"
"3346710";"1863396";"9.0"
"338722";"1068331";"4.0"
"2175759";"2016912";"15.0"
"91601";"348237";"1.0"
"953112";"2750534";"1.0"
"2998482";"577065";"9.0"
"781165";"3844330";"4.0"
"781165";"3642846";"1.0"
"4803637";"4404808";"1.0"
"2998482";"338722";"163.0"
"2998482";"700473";"4.0"
"91601";"1290410";"18.0"
"574565";"781165";"79.0"
"781165";"1290410";"37.0"
"781165";"2013411";"1.0"
"1747476";"2631846";"15.0"
"781165";"1435531";"8.0"
"4803639";"172172";"8.0"
"14145";"2227340";"1.0"
"4466947";"604092";"2.0"
"2998482";"781165";"85.0"
"338722";"2551385";"5.0"
"574565";"1068331";"1.0"
"781165";"1068331";"13.0"
"680178";"1068331";"31.0"
"967943";"338722";"2.0"
"2909744";"383311";"16.0"
"1239277";"338722";"1.0"
"2377488";"338722";"1.0"
"172172";"2883481";"22.0"
"1240960";"2880451";"10.0"
"2998482";"1041755";"45.0"
"2998482";"340028";"38.0"
"2862562";"781165";"1.0"
"338722";"1868001";"22.0"
"402696";"2262332";"1.0"
"5009704";"145342";"1.0"
"524942";"1238306";"2.0"
"178297";"1238306";"187.0"
"2998482";"237056";"24.0"
"4803623";"2890376";"2.0"
"172172";"2890376";"8.0"
"2909171";"2867176";"2.0"
"2613227";"338722";"4.0"
"2998482";"91601";"2.0"
"4803639";"91601";"7.0"
"91601";"2909744";"3.0"
"2377488";"1939692";"90.0"
"1290410";"338722";"18.0"
"1240960";"1758321";"1.0"
"2877000";"667801";"3.0"
"2998482";"1290410";"24.0"
"172172";"1290410";"12.0"
"574565";"1290410";"354.0"
"574565";"2897604";"1.0"
"3573327";"217578";"124.0"
"3573327";"1844099";"16.0"
"2909744";"2512411";"41.0"
"91601";"574565";"2.0"
"3349715";"1844099";"12.0"
"3346697";"2748306";"30.0"
"91601";"2883090";"1.0"
"4803638";"2551688";"1.0"
"2998482";"1197054";"41.0"
"172172";"2875449";"3.0"
"2797113";"781165";"4.0"
"91601";"926962";"6.0"
"1240960";"2862562";"9.0"
"4803636";"574565";"1.0"
"172172";"2749811";"3.0"
"91601";"2749811";"5.0"
"574565";"88275";"1.0"
"1235319";"2548623";"2.0"
"4803636";"145342";"1.0"
"2909744";"491626";"111.0"
"4350515";"3415798";"1.0"
"1240960";"1731661";"1.0"
"91601";"1805089";"1.0"
"2878777";"491626";"5.0"
"2897784";"491626";"1.0"
"338722";"781165";"5.0"
"172172";"2871886";"1.0"
"13314";"419391";"2.0"
"172172";"2548623";"18.0"
"4803636";"2548623";"5.0"
"574565";"926962";"5.0"
"239657";"926962";"1.0"
"2883160";"2551385";"4.0"
"338722";"2885099";"3.0"
"474294";"4803636";"5.0"
"524942";"2864904";"18.0"
"178297";"2864904";"3.0"
"2748306";"2864904";"1.0"
"2870269";"2631846";"6.0"
"2998482";"759007";"7.0"
"4803637";"4803639";"1.0"
"2748306";"178297";"7.0"
"383311";"2867310";"42.0"
"4164763";"189508";"4.0"
"4803595";"348237";"5.0"
"4803595";"182754";"1.0"
"4803595";"577065";"1.0"
"3333964";"577065";"1.0"
"616885";"1786339";"24.0"
"4260019";"2748306";"1.0"
"1535323";"2557649";"18.0"
"777796";"2872071";"5.0"
"4803623";"1068331";"1.0"
"1068331";"575097";"1.0"
"2748306";"2557649";"12.0"
"2877554";"2102589";"5.0"
"781165";"826176";"5.0"
"516946";"455687";"20.0"
"4803639";"2767658";"4.0"
"1235319";"311429";"1.0"
"1240960";"2879219";"26.0"
"1240960";"631252";"4.0"
"953112";"2787436";"4.0"
"4803636";"186281";"1.0"
"2698148";"455687";"3.0"
"2878730";"455687";"10.0"
"2881198";"2749811";"4.0"
"4803595";"3333964";"2.0"
"4212701";"145342";"1.0"
"826176";"2865586";"20.0"
"524942";"2865586";"7.0"
"14145";"338722";"32.0"
"2512411";"2872060";"8.0"
"3493991";"4164734";"4.0"
"953112";"2877806";"5.0"
"3573327";"1380064";"25.0"
"2862363";"1380064";"12.0"
"826176";"1380064";"6.0"
