"source";"target";"weight"
"421615";"2512411";"124.0"
"178297";"2323688";"5.0"
"2323688";"3415798";"2.0"
"3415798";"2323688";"3.0"
"338722";"2909744";"88.0"
"338722";"172172";"24.0"
"172172";"2909744";"10.0"
"1197054";"237056";"68.0"
"2016912";"338722";"7.0"
"2512411";"2748306";"1507.0"
"338722";"2998482";"67.0"
"338722";"2875320";"7.0"
"524942";"6085";"25.0"
"217578";"6085";"365.0"
"781165";"2884961";"11.0"
"2884961";"91601";"3.0"
"91601";"2884961";"7.0"
"2033805";"2175759";"127.0"
"251654";"2175759";"118.0"
"2115860";"2227340";"4.0"
"6085";"491626";"5.0"
"524942";"491626";"32.0"
"217578";"491626";"5660.0"
"1041755";"4803639";"13.0"
"13314";"1041755";"8.0"
"13314";"4803639";"2.0"
"91601";"1041755";"3.0"
"4803639";"1041755";"9.0"
"1041755";"13314";"1.0"
"1240960";"1041755";"6.0"
"1240960";"4803639";"6.0"
"1240960";"13314";"1.0"
"4803639";"13314";"1.0"
"2016912";"2175759";"107.0"
"2878023";"2512411";"44.0"
"292776";"2512411";"15.0"
"2273594";"826176";"24.0"
"2883160";"2551385";"2.0"
"1704583";"2512411";"130.0"
"1863396";"2883548";"5.0"
"1240960";"237056";"18.0"
"2861953";"414089";"1.0"
"1903670";"237056";"118.0"
"1903670";"172172";"98.0"
"2866449";"172172";"21.0"
"217578";"2631846";"10640.0"
"2631846";"826176";"34.0"
"217578";"826176";"305.0"
"34522";"2876689";"85.0"
"2876689";"34522";"6.0"
"4504976";"129150";"5.0"
"3911389";"129150";"25.0"
"2698148";"4803637";"12.0"
"129150";"1240960";"343.0"
"2429119";"2219449";"239.0"
"2867116";"2843884";"204.0"
"2328740";"781165";"27.0"
"781165";"864704";"31.0"
"2516598";"338722";"55.0"
"217578";"524942";"957.0"
"237056";"1197054";"156.0"
"1290410";"781165";"28.0"
"2748306";"3346697";"65.0"
"237056";"2998482";"11.0"
"3878627";"145342";"6.0"
"204650";"4803639";"8.0"
"781165";"204650";"4.0"
"781165";"4803639";"6.0"
"4803639";"204650";"5.0"
"1197054";"2551385";"88.0"
"2551385";"1197054";"21.0"
"3101916";"1197054";"42.0"
"3101916";"2551385";"5.0"
"1818947";"524942";"411.0"
"3715322";"4803595";"8.0"
