"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"2420780";"bkkboy18";"10";"0";"10";"10";"0";"5";"4";"1";"0";"5";"0.0";"1.0";"1.0";"0.0";"0.5";"0.4";"0.1";"5"
"244754";"Janjko";"2";"0";"2";"0";"2";"0";"2";"0";"0";"54332";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2"
"449555";"Jérôme Vouillon";"102";"23";"79";"92";"10";"23";"67";"12";"0";"526";"0.22549019607843138";"0.7745098039215687";"0.9019607843137255";"0.09803921568627451";"0.22549019607843138";"0.6568627450980392";"0.11764705882352941";"19"
"2885684";"Ane Maria";"3";"0";"3";"0";"3";"1";"2";"0";"0";"8";"0.0";"1.0";"0.0";"1.0";"0.3333333333333333";"0.6666666666666666";"0.0";"1"
"1198089";"GeorgeKaplan";"791";"127";"664";"523";"268";"104";"558";"129";"0";"1536";"0.16055625790139064";"0.8394437420986094";"0.661188369152971";"0.3388116308470291";"0.13147914032869784";"0.7054361567635904";"0.16308470290771176";"95"
"2860087";"Lionel TREILLARD";"12";"12";"0";"12";"0";"0";"12";"0";"0";"15";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2"
"1144846";"rdfs";"2";"2";"0";"2";"0";"1";"1";"0";"0";"11";"1.0";"0.0";"1.0";"0.0";"0.5";"0.5";"0.0";"2"
"93222";"InfosReseaux";"32";"0";"32";"2";"30";"3";"29";"0";"0";"1137";"0.0";"1.0";"0.0625";"0.9375";"0.09375";"0.90625";"0.0";"2"
"343084";"andreib";"1";"1";"0";"1";"0";"0";"1";"0";"0";"138";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"1313848";"Ulmon Community";"7";"7";"0";"7";"0";"7";"0";"0";"0";"281";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"7"
