"source";"target";"weight";"type"
"189041";"420994";"1.0000224156553976";"undirected"
"189041";"16019";"1.000000081658439";"undirected"
"189041";"70807";"1.000000783278954";"undirected"
"189041";"83668";"1.000000050664665";"undirected"
"189041";"327375";"1.000086698950101";"undirected"
"189041";"158937";"1.0000081024446617";"undirected"
"189041";"37659";"1.0000031241663223";"undirected"
"189041";"632125";"1.0000049527151371";"undirected"
"189041";"138170";"1.000005514560012";"undirected"
"189041";"49158";"1.0000003642413189";"undirected"
"1048705";"144103";"1.0036115052237844";"undirected"
"306302";"59148";"1.000047886134096";"undirected"
"306302";"37659";"1.000000407076628";"undirected"
"306302";"4474";"1.0001373226972439";"undirected"
"306302";"293885";"1.0001474457136479";"undirected"
"306302";"11810";"1.0000098331872547";"undirected"
"306302";"133675";"1.0000047290162832";"undirected"
"96380";"70807";"1.0000000580484079";"undirected"
"96380";"26798";"1.0006339760085772";"undirected"
"96380";"83668";"1.0000469785973654";"undirected"
"96380";"158937";"1.0000318724293191";"undirected"
"96380";"13553";"1.0000572342941894";"undirected"
"96380";"183561";"1.0000378180937806";"undirected"
"96380";"59148";"1.0002254159694215";"undirected"
"96380";"9486";"1.000001844586657";"undirected"
"96380";"37659";"1.0000232828160454";"undirected"
"96380";"229685";"1.0000042591675031";"undirected"
"96380";"132937";"1.000006977271538";"undirected"
"96380";"18855";"1.000117406268149";"undirected"
"96380";"33745";"1.0000095182972686";"undirected"
"96380";"17397";"1.000010227089886";"undirected"
"96380";"11810";"1.000003644282554";"undirected"
"96380";"150589";"1.0000927877947605";"undirected"
"3196";"98427";"1.0000002144781501";"undirected"
"3196";"27785";"1.0001021180330907";"undirected"
"3196";"88722";"1.0000945269428112";"undirected"
"3196";"16019";"1.0000177946228685";"undirected"
"3196";"70807";"1.0000128652156426";"undirected"
"3196";"30363";"1.0002546398993837";"undirected"
"3196";"45726";"1.0000687305198512";"undirected"
"3196";"20689";"1.000229409466255";"undirected"
"3196";"83668";"1.0000125367486907";"undirected"
"3196";"178901";"1.0000004770293989";"undirected"
"3196";"158937";"1.0000066017770641";"undirected"
"3196";"186087";"1.0000123286384555";"undirected"
"3196";"13553";"1.0000283253695328";"undirected"
"3196";"42234";"1.0003216308190308";"undirected"
"3196";"158473";"1.00000033982723";"undirected"
"3196";"59148";"1.0000810789292804";"undirected"
"3196";"37659";"1.0000072913382199";"undirected"
"3196";"154411";"1.0000203944771755";"undirected"
"3196";"229685";"1.0000008702387064";"undirected"
"3196";"132937";"1.0003437779079483";"undirected"
"3196";"88413";"1.000001856686816";"undirected"
"3196";"107368";"1.000000496608102";"undirected"
"3196";"210284";"1.0000000064287373";"undirected"
"3196";"464246";"1.0000003585436585";"undirected"
"3196";"183672";"1.0000026791106336";"undirected"
"3196";"4474";"1.0000000271101879";"undirected"
"3196";"81281";"1.0001606015275883";"undirected"
"3196";"19348";"1.0003073965294902";"undirected"
"3196";"9638";"1.0000008141930126";"undirected"
"3196";"18855";"1.000163085543221";"undirected"
"3196";"27565";"1.0000000168460115";"undirected"
"3196";"43956";"1.0002169650470798";"undirected"
"3196";"33745";"1.0000039373773497";"undirected"
"3196";"17397";"1.0000332185909513";"undirected"
"3196";"4101";"1.0000010169522182";"undirected"
"3196";"49158";"1.0000003325463842";"undirected"
"3196";"41501";"1.0000337233746497";"undirected"
"3196";"300570";"1.0000000798647952";"undirected"
"3196";"11810";"1.0000829938030986";"undirected"
"3196";"19529";"1.0000002627922333";"undirected"
"3196";"55893";"1.0001287005697883";"undirected"
"98427";"111234";"1.0000002242207766";"undirected"
"98427";"29828";"1.000000044629472";"undirected"
"98427";"420994";"1.0000006536313244";"undirected"
"98427";"16019";"1.0000001091037682";"undirected"
"98427";"70807";"1.0000001888562873";"undirected"
"98427";"147621";"1.0000003010534262";"undirected"
"98427";"179889";"1.000001394643293";"undirected"
"98427";"22219";"1.0000016671237364";"undirected"
"98427";"107723";"1.0000001689477909";"undirected"
"98427";"83668";"1.000000217849196";"undirected"
"98427";"158937";"1.0000001253784918";"undirected"
"98427";"92385";"1.0000000082275489";"undirected"
"98427";"71415";"1.0000028124587856";"undirected"
"98427";"183561";"1.0000003310576133";"undirected"
"98427";"158473";"1.0000004550050192";"undirected"
"98427";"90891";"1.000012256559241";"undirected"
"98427";"59148";"1.0000000178811377";"undirected"
"98427";"1808";"1.0000019976627346";"undirected"
"98427";"37659";"1.0000010379313988";"undirected"
"98427";"110374";"1.0000020879725473";"undirected"
"98427";"632125";"1.0000000086781116";"undirected"
"98427";"332604";"1.000000240439294";"undirected"
"98427";"722248";"1.0000009477126461";"undirected"
"98427";"705855";"1.0000001335289086";"undirected"
"98427";"45395";"1.0000003214507223";"undirected"
"98427";"88413";"1.0000000572316028";"undirected"
"98427";"107368";"1.000001627733177";"undirected"
"98427";"210284";"1.0000009949473043";"undirected"
"98427";"464246";"1.000000050924966";"undirected"
"98427";"1044852";"1.0000019502513178";"undirected"
"98427";"183672";"1.0000816857954389";"undirected"
"98427";"428432";"1.0000001133989473";"undirected"
"98427";"685989";"1.0000002177298466";"undirected"
"98427";"27565";"1.0000002700284052";"undirected"
"98427";"172978";"1.0000007073087966";"undirected"
"98427";"78767";"1.0000042715327968";"undirected"
"98427";"85425";"1.0000000245460547";"undirected"
"98427";"43956";"1.000000092400121";"undirected"
"98427";"138170";"1.0000000874415704";"undirected"
"98427";"185798";"1.000003426620331";"undirected"
"98427";"230862";"1.0000001872976652";"undirected"
"98427";"33745";"1.0000002868706048";"undirected"
"98427";"125410";"1.0000017474592815";"undirected"
"98427";"290791";"1.0000000596403205";"undirected"
"98427";"286708";"1.0000001813072628";"undirected"
"98427";"155126";"1.0000000756842946";"undirected"
"98427";"17397";"1.0000011679657008";"undirected"
"98427";"209907";"1.0000010412512508";"undirected"
"98427";"4101";"1.000000169708205";"undirected"
"98427";"49158";"1.0000014481665893";"undirected"
"98427";"858624";"1.00000003681841";"undirected"
"98427";"41501";"1.0000000461565905";"undirected"
"98427";"300570";"1.000000528581037";"undirected"
"98427";"133675";"1.0000027205899522";"undirected"
"98427";"55893";"1.0000020543839985";"undirected"
"111234";"45726";"1.0000001955838727";"undirected"
"111234";"83668";"1.0000013858591";"undirected"
"111234";"183561";"1.0000019056660185";"undirected"
"111234";"59148";"1.0000019897113424";"undirected"
"111234";"37659";"1.0000001162346808";"undirected"
"111234";"27965";"1.0000034037047376";"undirected"
"111234";"12642";"1.0000010455086286";"undirected"
"111234";"33745";"1.0000006349248782";"undirected"
"111234";"125410";"1.0000101412392932";"undirected"
"111234";"38373";"1.0000060977133376";"undirected"
"111234";"293885";"1.0000222963331316";"undirected"
"111234";"28670";"1.00000062992536";"undirected"
"886926";"167745";"1.00814562047813";"undirected"
"67713";"83668";"1.0000104698627936";"undirected"
"29828";"16019";"1.000013861519903";"undirected"
"29828";"150730";"1.0000020326360037";"undirected"
"29828";"22728";"1.0001734594023177";"undirected"
"29828";"83668";"1.0000711345879973";"undirected"
"29828";"158937";"1.0000018392678935";"undirected"
