"source";"target";"weight";"type"
"189041";"1048705";"202.0";"undirected"
"189041";"224880";"202.0";"undirected"
"189041";"306302";"200.0";"undirected"
"189041";"413308";"202.0";"undirected"
"189041";"96380";"196.0";"undirected"
"189041";"3196";"172.0";"undirected"
"189041";"98427";"106.0";"undirected"
"189041";"111234";"192.0";"undirected"
"189041";"886926";"202.0";"undirected"
"189041";"67713";"202.0";"undirected"
"189041";"29828";"187.0";"undirected"
"189041";"420994";"149.0";"undirected"
"189041";"584332";"202.0";"undirected"
"189041";"628877";"202.0";"undirected"
"189041";"631424";"202.0";"undirected"
"189041";"1015429";"202.0";"undirected"
"189041";"27785";"173.0";"undirected"
"189041";"26250";"200.0";"undirected"
"189041";"88722";"196.0";"undirected"
"189041";"16019";"49.0";"undirected"
"189041";"70807";"96.0";"undirected"
"189041";"30363";"191.0";"undirected"
"189041";"45726";"160.0";"undirected"
"189041";"634536";"202.0";"undirected"
"189041";"147621";"195.0";"undirected"
"189041";"613536";"202.0";"undirected"
"189041";"54953";"202.0";"undirected"
"189041";"167080";"202.0";"undirected"
"189041";"26798";"197.0";"undirected"
"189041";"94381";"202.0";"undirected"
"189041";"179889";"185.0";"undirected"
"189041";"497845";"198.0";"undirected"
"189041";"80060";"202.0";"undirected"
"189041";"492229";"202.0";"undirected"
"189041";"589001";"200.0";"undirected"
"189041";"62659";"201.0";"undirected"
"189041";"475330";"203.0";"undirected"
"189041";"655553";"193.0";"undirected"
"189041";"150730";"123.0";"undirected"
"189041";"22728";"187.0";"undirected"
"189041";"386254";"202.0";"undirected"
"189041";"285901";"202.0";"undirected"
"189041";"22219";"202.0";"undirected"
"189041";"107723";"197.0";"undirected"
"189041";"1072351";"204.0";"undirected"
"189041";"20689";"186.0";"undirected"
"189041";"83668";"51.0";"undirected"
"189041";"178901";"165.0";"undirected"
"189041";"327375";"199.0";"undirected"
"189041";"88275";"199.0";"undirected"
"189041";"417487";"202.0";"undirected"
"189041";"158937";"107.0";"undirected"
"189041";"2271";"202.0";"undirected"
"189041";"181984";"195.0";"undirected"
"189041";"92385";"187.0";"undirected"
"189041";"568042";"201.0";"undirected"
"189041";"452320";"202.0";"undirected"
"189041";"73445";"201.0";"undirected"
"189041";"144103";"194.0";"undirected"
"189041";"186087";"200.0";"undirected"
"189041";"39151";"200.0";"undirected"
"189041";"344820";"202.0";"undirected"
"189041";"81135";"198.0";"undirected"
"189041";"346355";"202.0";"undirected"
"189041";"13553";"130.0";"undirected"
"189041";"450292";"201.0";"undirected"
"189041";"888567";"202.0";"undirected"
"189041";"145140";"200.0";"undirected"
"189041";"29431";"202.0";"undirected"
"189041";"71415";"195.0";"undirected"
"189041";"842484";"202.0";"undirected"
"189041";"42234";"186.0";"undirected"
"189041";"201470";"201.0";"undirected"
"189041";"194814";"202.0";"undirected"
"189041";"84221";"202.0";"undirected"
"189041";"1790";"160.0";"undirected"
"189041";"342784";"202.0";"undirected"
"189041";"18180";"194.0";"undirected"
"189041";"183561";"153.0";"undirected"
"189041";"158473";"187.0";"undirected"
"189041";"90891";"181.0";"undirected"
"189041";"59148";"128.0";"undirected"
"189041";"9486";"191.0";"undirected"
"189041";"84749";"202.0";"undirected"
"189041";"419592";"202.0";"undirected"
"189041";"24335";"202.0";"undirected"
"189041";"200978";"202.0";"undirected"
"189041";"1808";"202.0";"undirected"
"189041";"25873";"186.0";"undirected"
"189041";"16149";"196.0";"undirected"
"189041";"691473";"200.0";"undirected"
"189041";"629522";"195.0";"undirected"
"189041";"37659";"19.0";"undirected"
"189041";"262947";"180.0";"undirected"
"189041";"2335";"202.0";"undirected"
"189041";"110374";"159.0";"undirected"
"189041";"338722";"199.0";"undirected"
"189041";"24358";"199.0";"undirected"
"189041";"53032";"200.0";"undirected"
"189041";"24362";"197.0";"undirected"
"189041";"224551";"197.0";"undirected"
"189041";"154411";"192.0";"undirected"
"189041";"229685";"138.0";"undirected"
"189041";"35637";"196.0";"undirected"
"189041";"632125";"178.0";"undirected"
"189041";"332604";"161.0";"undirected"
"189041";"179515";"202.0";"undirected"
"189041";"27965";"183.0";"undirected"
"189041";"462647";"202.0";"undirected"
"189041";"42302";"203.0";"undirected"
"189041";"167745";"175.0";"undirected"
"189041";"211265";"180.0";"undirected"
"189041";"722248";"201.0";"undirected"
"189041";"102723";"198.0";"undirected"
"189041";"132937";"197.0";"undirected"
"189041";"705855";"200.0";"undirected"
"189041";"434004";"201.0";"undirected"
"189041";"152400";"184.0";"undirected"
"189041";"45395";"181.0";"undirected"
"189041";"46934";"201.0";"undirected"
"189041";"190809";"202.0";"undirected"
"189041";"393566";"202.0";"undirected"
"189041";"12634";"191.0";"undirected"
"189041";"286552";"200.0";"undirected"
"189041";"88413";"188.0";"undirected"
"189041";"709972";"202.0";"undirected"
"189041";"109405";"202.0";"undirected"
"189041";"12642";"187.0";"undirected"
"189041";"400223";"198.0";"undirected"
"189041";"12133";"168.0";"undirected"
"189041";"492895";"180.0";"undirected"
"189041";"107368";"123.0";"undirected"
"189041";"210284";"69.0";"undirected"
"189041";"464246";"195.0";"undirected"
"189041";"637818";"202.0";"undirected"
"189041";"317308";"190.0";"undirected"
"189041";"503677";"202.0";"undirected"
"189041";"1044852";"201.0";"undirected"
"189041";"183672";"196.0";"undirected"
"189041";"4474";"115.0";"undirected"
"189041";"334202";"201.0";"undirected"
"189041";"37248";"201.0";"undirected"
"189041";"81281";"181.0";"undirected"
"189041";"158592";"193.0";"undirected"
"189041";"48003";"188.0";"undirected"
"189041";"609163";"196.0";"undirected"
"189041";"67973";"200.0";"undirected"
"189041";"129929";"188.0";"undirected"
"189041";"975261";"204.0";"undirected"
"189041";"493973";"202.0";"undirected"
"189041";"595351";"202.0";"undirected"
"189041";"375190";"164.0";"undirected"
"189041";"206230";"201.0";"undirected"
"189041";"71059";"198.0";"undirected"
"189041";"552860";"199.0";"undirected"
"189041";"19348";"183.0";"undirected"
"189041";"105366";"202.0";"undirected"
"189041";"428432";"198.0";"undirected"
"189041";"39323";"201.0";"undirected"
"189041";"607144";"202.0";"undirected"
"189041";"529321";"202.0";"undirected"
"189041";"388517";"202.0";"undirected"
"189041";"132518";"200.0";"undirected"
"189041";"508833";"202.0";"undirected"
"189041";"9638";"184.0";"undirected"
"189041";"18855";"164.0";"undirected"
"189041";"314795";"202.0";"undirected"
"189041";"358315";"202.0";"undirected"
"189041";"685989";"195.0";"undirected"
"189041";"320935";"202.0";"undirected"
"189041";"600995";"202.0";"undirected"
"189041";"27565";"115.0";"undirected"
"189041";"190380";"202.0";"undirected"
"189041";"129968";"202.0";"undirected"
"189041";"172978";"163.0";"undirected"
"189041";"78767";"187.0";"undirected"
"189041";"321973";"199.0";"undirected"
"189041";"511412";"202.0";"undirected"
"189041";"170928";"202.0";"undirected"
"189041";"85425";"165.0";"undirected"
"189041";"43956";"139.0";"undirected"
"189041";"157622";"199.0";"undirected"
"189041";"99766";"202.0";"undirected"
"189041";"138164";"201.0";"undirected"
"189041";"138170";"120.0";"undirected"
"189041";"112062";"202.0";"undirected"
"189041";"857548";"202.0";"undirected"
"189041";"3009";"202.0";"undirected"
"189041";"185798";"178.0";"undirected"
"189041";"90054";"200.0";"undirected"
"189041";"103880";"107.0";"undirected"
"189041";"635327";"202.0";"undirected"
"189041";"1083322";"202.0";"undirected"
"189041";"697792";"202.0";"undirected"
"189041";"346061";"201.0";"undirected"
"189041";"7627";"202.0";"undirected"
"189041";"230862";"195.0";"undirected"
"189041";"572868";"202.0";"undirected"
"189041";"27085";"202.0";"undirected"
"189041";"445910";"202.0";"undirected"
"189041";"637399";"202.0";"undirected"
"189041";"33745";"94.0";"undirected"
"189041";"275932";"195.0";"undirected"
"189041";"735185";"202.0";"undirected"
"189041";"500188";"202.0";"undirected"
"189041";"48602";"201.0";"undirected"
"189041";"510438";"199.0";"undirected"
"189041";"629226";"202.0";"undirected"
"189041";"125410";"108.0";"undirected"
"189041";"10721";"197.0";"undirected"
"189041";"12260";"199.0";"undirected"
"189041";"38373";"177.0";"undirected"
"189041";"15850";"188.0";"undirected"
"189041";"290791";"132.0";"undirected"
"189041";"48107";"195.0";"undirected"
"189041";"46063";"201.0";"undirected"
"189041";"419317";"162.0";"undirected"
"189041";"987646";"200.0";"undirected"
"189041";"38895";"202.0";"undirected"
"189041";"286708";"160.0";"undirected"
"189041";"575480";"202.0";"undirected"
"189041";"207856";"199.0";"undirected"
"189041";"412657";"202.0";"undirected"
"189041";"212981";"197.0";"undirected"
"189041";"155126";"196.0";"undirected"
"189041";"17397";"108.0";"undirected"
"189041";"209907";"180.0";"undirected"
"189041";"127989";"201.0";"undirected"
"189041";"293885";"191.0";"undirected"
"189041";"45049";"202.0";"undirected"
"189041";"267768";"203.0";"undirected"
"189041";"28670";"193.0";"undirected"
"189041";"380419";"202.0";"undirected"
"189041";"4101";"141.0";"undirected"
"189041";"49158";"61.0";"undirected"
"189041";"858624";"196.0";"undirected"
"189041";"385031";"195.0";"undirected"
"189041";"36881";"202.0";"undirected"
"189041";"105490";"197.0";"undirected"
"189041";"83476";"202.0";"undirected"
"189041";"152597";"196.0";"undirected"
"189041";"582160";"194.0";"undirected"
"189041";"92186";"184.0";"undirected"
"189041";"17946";"194.0";"undirected"
"189041";"61466";"201.0";"undirected"
"189041";"319006";"181.0";"undirected"
"189041";"600596";"200.0";"undirected"
"189041";"633364";"199.0";"undirected"
"189041";"193565";"202.0";"undirected"
"189041";"41501";"125.0";"undirected"
"189041";"300570";"107.0";"undirected"
"189041";"355353";"202.0";"undirected"
"189041";"739882";"202.0";"undirected"
"189041";"11810";"89.0";"undirected"
"189041";"30244";"187.0";"undirected"
"189041";"456224";"179.0";"undirected"
"189041";"117800";"197.0";"undirected"
"189041";"28713";"201.0";"undirected"
"189041";"133675";"166.0";"undirected"
"189041";"208940";"194.0";"undirected"
"189041";"870972";"198.0";"undirected"
"189041";"58416";"201.0";"undirected"
"189041";"694333";"202.0";"undirected"
"189041";"729661";"202.0";"undirected"
"189041";"623678";"199.0";"undirected"
"189041";"492591";"202.0";"undirected"
"189041";"599087";"201.0";"undirected"
"189041";"16441";"202.0";"undirected"
"189041";"140344";"202.0";"undirected"
"189041";"150589";"181.0";"undirected"
"189041";"71742";"204.0";"undirected"
"189041";"687681";"193.0";"undirected"
"189041";"19529";"155.0";"undirected"
"189041";"337486";"191.0";"undirected"
"189041";"398411";"201.0";"undirected"
"189041";"209991";"199.0";"undirected"
"189041";"17483";"202.0";"undirected"
"189041";"145995";"201.0";"undirected"
"189041";"87122";"202.0";"undirected"
"189041";"641113";"202.0";"undirected"
"189041";"55893";"197.0";"undirected"
"189041";"656987";"202.0";"undirected"
"189041";"17493";"202.0";"undirected"
"189041";"806992";"202.0";"undirected"
"189041";"77915";"200.0";"undirected"
"1048705";"224880";"209.0";"undirected"
"1048705";"306302";"205.0";"undirected"
"1048705";"413308";"207.0";"undirected"
"1048705";"96380";"201.0";"undirected"
"1048705";"3196";"177.0";"undirected"
"1048705";"98427";"109.0";"undirected"
"1048705";"111234";"197.0";"undirected"
"1048705";"886926";"207.0";"undirected"
"1048705";"67713";"207.0";"undirected"
"1048705";"29828";"192.0";"undirected"
"1048705";"420994";"144.0";"undirected"
"1048705";"584332";"207.0";"undirected"
"1048705";"628877";"207.0";"undirected"
"1048705";"631424";"207.0";"undirected"
"1048705";"1015429";"207.0";"undirected"
"1048705";"27785";"178.0";"undirected"
"1048705";"26250";"205.0";"undirected"
"1048705";"88722";"201.0";"undirected"
"1048705";"16019";"44.0";"undirected"
"1048705";"70807";"97.0";"undirected"
"1048705";"30363";"196.0";"undirected"
"1048705";"45726";"165.0";"undirected"
"1048705";"634536";"207.0";"undirected"
"1048705";"147621";"200.0";"undirected"
"1048705";"613536";"207.0";"undirected"
"1048705";"54953";"207.0";"undirected"
"1048705";"167080";"207.0";"undirected"
"1048705";"26798";"198.0";"undirected"
"1048705";"94381";"207.0";"undirected"
"1048705";"179889";"190.0";"undirected"
"1048705";"497845";"203.0";"undirected"
"1048705";"80060";"207.0";"undirected"
"1048705";"492229";"207.0";"undirected"
"1048705";"589001";"205.0";"undirected"
"1048705";"62659";"206.0";"undirected"
"1048705";"475330";"208.0";"undirected"
"1048705";"655553";"198.0";"undirected"
"1048705";"150730";"128.0";"undirected"
"1048705";"22728";"190.0";"undirected"
"1048705";"386254";"207.0";"undirected"
"1048705";"285901";"207.0";"undirected"
"1048705";"22219";"207.0";"undirected"
"1048705";"107723";"202.0";"undirected"
"1048705";"1072351";"207.0";"undirected"
"1048705";"20689";"191.0";"undirected"
"1048705";"83668";"46.0";"undirected"
"1048705";"178901";"170.0";"undirected"
"1048705";"327375";"200.0";"undirected"
"1048705";"88275";"202.0";"undirected"
"1048705";"417487";"207.0";"undirected"
"1048705";"158937";"104.0";"undirected"
"1048705";"2271";"207.0";"undirected"
"1048705";"181984";"200.0";"undirected"
"1048705";"92385";"188.0";"undirected"
"1048705";"568042";"206.0";"undirected"
"1048705";"452320";"207.0";"undirected"
"1048705";"73445";"206.0";"undirected"
"1048705";"144103";"201.0";"undirected"
"1048705";"186087";"205.0";"undirected"
"1048705";"39151";"203.0";"undirected"
"1048705";"344820";"207.0";"undirected"
"1048705";"81135";"203.0";"undirected"
"1048705";"346355";"207.0";"undirected"
"1048705";"13553";"135.0";"undirected"
"1048705";"450292";"206.0";"undirected"
"1048705";"888567";"207.0";"undirected"
"1048705";"145140";"205.0";"undirected"
"1048705";"29431";"207.0";"undirected"
"1048705";"71415";"200.0";"undirected"
"1048705";"842484";"207.0";"undirected"
"1048705";"42234";"191.0";"undirected"
"1048705";"201470";"206.0";"undirected"
"1048705";"194814";"207.0";"undirected"
"1048705";"84221";"207.0";"undirected"
"1048705";"1790";"165.0";"undirected"
"1048705";"342784";"207.0";"undirected"
"1048705";"18180";"199.0";"undirected"
"1048705";"183561";"158.0";"undirected"
"1048705";"158473";"192.0";"undirected"
"1048705";"90891";"182.0";"undirected"
"1048705";"59148";"133.0";"undirected"
"1048705";"9486";"196.0";"undirected"
"1048705";"84749";"207.0";"undirected"
"1048705";"419592";"207.0";"undirected"
"1048705";"24335";"207.0";"undirected"
"1048705";"200978";"207.0";"undirected"
"1048705";"1808";"207.0";"undirected"
"1048705";"25873";"191.0";"undirected"
"1048705";"16149";"201.0";"undirected"
"1048705";"691473";"205.0";"undirected"
"1048705";"629522";"200.0";"undirected"
"1048705";"37659";"16.0";"undirected"
"1048705";"262947";"177.0";"undirected"
"1048705";"2335";"207.0";"undirected"
"1048705";"110374";"164.0";"undirected"
"1048705";"338722";"204.0";"undirected"
"1048705";"24358";"206.0";"undirected"
"1048705";"53032";"205.0";"undirected"
"1048705";"24362";"202.0";"undirected"
"1048705";"224551";"202.0";"undirected"
"1048705";"154411";"197.0";"undirected"
"1048705";"229685";"141.0";"undirected"
"1048705";"35637";"201.0";"undirected"
"1048705";"632125";"179.0";"undirected"
"1048705";"332604";"164.0";"undirected"
"1048705";"179515";"207.0";"undirected"
"1048705";"27965";"186.0";"undirected"
"1048705";"462647";"207.0";"undirected"
"1048705";"42302";"206.0";"undirected"
"1048705";"167745";"180.0";"undirected"
"1048705";"211265";"179.0";"undirected"
"1048705";"722248";"206.0";"undirected"
"1048705";"102723";"203.0";"undirected"
"1048705";"132937";"202.0";"undirected"
"1048705";"705855";"205.0";"undirected"
"1048705";"434004";"206.0";"undirected"
"1048705";"152400";"187.0";"undirected"
"1048705";"45395";"186.0";"undirected"
"1048705";"46934";"206.0";"undirected"
"1048705";"190809";"207.0";"undirected"
"1048705";"393566";"207.0";"undirected"
"1048705";"12634";"196.0";"undirected"
"1048705";"286552";"205.0";"undirected"
"1048705";"88413";"193.0";"undirected"
"1048705";"709972";"207.0";"undirected"
"1048705";"109405";"207.0";"undirected"
"1048705";"12642";"192.0";"undirected"
"1048705";"400223";"203.0";"undirected"
"1048705";"12133";"171.0";"undirected"
"1048705";"492895";"183.0";"undirected"
"1048705";"107368";"120.0";"undirected"
"1048705";"210284";"70.0";"undirected"
"1048705";"464246";"200.0";"undirected"
"1048705";"637818";"207.0";"undirected"
"1048705";"317308";"195.0";"undirected"
"1048705";"503677";"207.0";"undirected"
"1048705";"1044852";"208.0";"undirected"
"1048705";"183672";"201.0";"undirected"
"1048705";"4474";"114.0";"undirected"
"1048705";"334202";"206.0";"undirected"
"1048705";"37248";"208.0";"undirected"
"1048705";"81281";"186.0";"undirected"
"1048705";"158592";"196.0";"undirected"
"1048705";"48003";"193.0";"undirected"
"1048705";"609163";"197.0";"undirected"
"1048705";"67973";"203.0";"undirected"
"1048705";"129929";"191.0";"undirected"
"1048705";"975261";"207.0";"undirected"
"1048705";"493973";"207.0";"undirected"
"1048705";"595351";"207.0";"undirected"
"1048705";"375190";"165.0";"undirected"
"1048705";"206230";"206.0";"undirected"
"1048705";"71059";"203.0";"undirected"
"1048705";"552860";"204.0";"undirected"
"1048705";"19348";"188.0";"undirected"
"1048705";"105366";"207.0";"undirected"
"1048705";"428432";"203.0";"undirected"
"1048705";"39323";"206.0";"undirected"
"1048705";"607144";"207.0";"undirected"
"1048705";"529321";"207.0";"undirected"
"1048705";"388517";"207.0";"undirected"
"1048705";"132518";"207.0";"undirected"
"1048705";"508833";"207.0";"undirected"
"1048705";"9638";"189.0";"undirected"
"1048705";"18855";"169.0";"undirected"
"1048705";"314795";"207.0";"undirected"
"1048705";"358315";"207.0";"undirected"
"1048705";"685989";"194.0";"undirected"
"1048705";"320935";"207.0";"undirected"
"1048705";"600995";"207.0";"undirected"
"1048705";"27565";"116.0";"undirected"
"1048705";"190380";"207.0";"undirected"
"1048705";"129968";"207.0";"undirected"
"1048705";"172978";"168.0";"undirected"
"1048705";"78767";"192.0";"undirected"
"1048705";"321973";"204.0";"undirected"
"1048705";"511412";"207.0";"undirected"
"1048705";"170928";"207.0";"undirected"
"1048705";"85425";"166.0";"undirected"
"1048705";"43956";"144.0";"undirected"
"1048705";"157622";"204.0";"undirected"
"1048705";"99766";"207.0";"undirected"
"1048705";"138164";"206.0";"undirected"
"1048705";"138170";"117.0";"undirected"
"1048705";"112062";"207.0";"undirected"
"1048705";"857548";"205.0";"undirected"
"1048705";"3009";"207.0";"undirected"
"1048705";"185798";"177.0";"undirected"
"1048705";"90054";"205.0";"undirected"
"1048705";"103880";"110.0";"undirected"
"1048705";"635327";"207.0";"undirected"
"1048705";"1083322";"207.0";"undirected"
"1048705";"697792";"207.0";"undirected"
"1048705";"346061";"206.0";"undirected"
"1048705";"7627";"207.0";"undirected"
"1048705";"230862";"200.0";"undirected"
"1048705";"572868";"207.0";"undirected"
"1048705";"27085";"207.0";"undirected"
"1048705";"445910";"207.0";"undirected"
"1048705";"637399";"207.0";"undirected"
"1048705";"33745";"97.0";"undirected"
"1048705";"275932";"200.0";"undirected"
"1048705";"735185";"207.0";"undirected"
"1048705";"500188";"207.0";"undirected"
"1048705";"48602";"206.0";"undirected"
"1048705";"510438";"204.0";"undirected"
"1048705";"629226";"207.0";"undirected"
"1048705";"125410";"109.0";"undirected"
"1048705";"10721";"204.0";"undirected"
"1048705";"12260";"204.0";"undirected"
"1048705";"38373";"182.0";"undirected"
"1048705";"15850";"191.0";"undirected"
