"source";"target";"weight"
"22276";"158937";"6.0"
"420994";"107737";"3.0"
"497288";"420994";"1.0"
"497288";"107737";"110.0"
"497288";"4165";"4.0"
"22276";"582160";"9789.0"
"870972";"582160";"250.0"
"191897";"107737";"94.0"
"22276";"107737";"263.0"
"191897";"420994";"1.0"
"4165";"107737";"38.0"
"420994";"159772";"5.0"
"159772";"107737";"1.0"
"128128";"107737";"1.0"
"22276";"191897";"156.0"
"1198200";"22276";"2.0"
"22276";"870972";"110.0"
"191897";"497288";"13.0"
"22276";"497288";"52.0"
"191897";"22276";"1.0"
"22276";"4165";"77.0"
"497288";"393213";"9.0"
"393213";"107737";"1.0"
"1418248";"22276";"1.0"
"49158";"107737";"2.0"
"158937";"107737";"1.0"
"17397";"107368";"2.0"
"107368";"72346";"2.0"
"870972";"1198200";"44.0"
"1198200";"1478060";"30.0"
"870972";"1478060";"3.0"
"191897";"582160";"8.0"
"1418248";"107737";"3.0"
"1238775";"712071";"1.0"
"870972";"712071";"8.0"
"191897";"712071";"6.0"
"191897";"79497";"1.0"
"79497";"712071";"1.0"
"497288";"132446";"2.0"
"92186";"582160";"5.0"
"191897";"300570";"2.0"
"1076097";"722248";"1.0"
"722248";"175634";"1.0"
"191897";"159772";"2.0"
"4165";"159772";"1.0"
"870972";"107737";"53.0"
"1762916";"107737";"8.0"
"22276";"181246";"1.0"
"181246";"1202256";"1.0"
"5686421";"22276";"1.0"
"191897";"16019";"2.0"
"22276";"132446";"1.0"
"132446";"107737";"3.0"
"420994";"132446";"1.0"
"400494";"107737";"1.0"
"172978";"22276";"6.0"
"214547";"45395";"2.0"
"22276";"1202256";"4.0"
"4165";"132446";"1.0"
"11294";"22276";"1.0"
"107368";"582160";"1.0"
"582160";"517950";"1.0"
"517950";"49158";"1.0"
"49158";"79497";"1.0"
"79497";"107737";"1.0"
"1076097";"582160";"6.0"
